date	rr	etp	tx	tn	rg	ux	un	vt	tm
01-01-2003	0	5.06	25.4	18.5	29.3	-999	-999	-999	21.1
02-01-2003	0.5	3.46	24	17.4	17.61	-999	-999	-999	20
03-01-2003	0.6	3.16	25.9	18.4	15.87	-999	-999	-999	21.7
04-01-2003	0.9	2.06	25	20.2	8.24	-999	-999	-999	21.5
05-01-2003	0.5	2.66	24.5	19.1	12.41	-999	-999	-999	21.8
06-01-2003	0.2	2.46	24.3	19.9	11.46	-999	-999	-999	21.5
07-01-2003	0.5	4.46	27	19.4	23.67	-999	-999	-999	22.9
08-01-2003	0	5.56	28.1	19.1	29.81	-999	-999	-999	22.7
09-01-2003	0	5.76	26	18.2	33.6	-999	-999	-999	21.7
10-01-2003	0	5.36	26.1	17.1	28.89	-999	-999	-999	21.7
11-01-2003	0	5.07	25.5	16.4	27.36	-999	-999	-999	21
12-01-2003	0	4.17	26.8	17.4	20.29	-999	-999	-999	21.2
13-01-2003	0	4.57	26.4	17.5	24.26	-999	-999	-999	21.5
14-01-2003	0.3	5.37	27.8	17.7	28.78	-999	-999	-999	22.6
15-01-2003	0.1	4.07	27.4	20.4	20.58	-999	-999	-999	23.2
16-01-2003	0.2	2.47	27.3	21.2	10.45	-999	-999	-999	23.2
17-01-2003	0.1	3.37	27.1	21.3	16.18	-999	-999	-999	23.8
18-01-2003	0.1	3.27	26.7	21.3	16.22	-999	-999	-999	23.8
19-01-2003	0.1	2.77	27	21.2	12.37	-999	-999	-999	22.9
20-01-2003	0	3.27	26	20.1	16.08	-999	-999	-999	22.5
21-01-2003	8.7	3.77	27.3	19.2	15.59	-999	-999	-999	22.1
22-01-2003	0	4.37	26.5	18.9	23.37	-999	-999	-999	22
23-01-2003	0	4.17	26	18.4	21.24	-999	-999	-999	22.3
24-01-2003	18.8	3.37	26.1	20	16.51	-999	-999	-999	22.5
25-01-2003	0	4.87	28.3	20.1	25.88	-999	-999	-999	23.6
26-01-2003	10.4	4.17	28.4	19.8	20.62	-999	-999	-999	23.8
27-01-2003	1.4	2.77	27.6	21.1	11.44	-999	-999	-999	24.1
28-01-2003	0	3.17	28.4	22	13.07	-999	-999	-999	24.5
29-01-2003	1.4	3.37	27.9	21	14.75	-999	-999	-999	23.6
30-01-2003	4.7	4.67	28.6	20.6	24.28	-999	-999	-999	24
31-01-2003	0	3.67	27.6	20.9	16.93	-999	-999	-999	23.6
01-02-2003	0.5	4.16	27.7	20.4	20.38	-999	-999	-999	23.4
02-02-2003	3	3.66	27.6	19.7	17.2	-999	-999	-999	22.5
03-02-2003	1.4	5.26	28.3	19.3	27.61	-999	-999	-999	23.5
04-02-2003	0	4.56	28.5	20	22.68	-999	-999	-999	23.8
05-02-2003	0	3.56	26.9	19.8	16.78	-999	-999	-999	23
06-02-2003	0	3.76	27.3	18.5	17.79	-999	-999	-999	22.4
07-02-2003	0	5.06	28.2	19.4	26.68	-999	-999	-999	23
08-02-2003	0.1	5.56	26.7	19.4	31.05	-999	-999	-999	22.8
09-02-2003	0	6.16	29.7	19.5	32.28	-999	-999	-999	23.8
10-02-2003	70.5	5.06	26.8	19.3	28.07	-999	-999	-999	22.4
11-02-2003	21.5	2.86	28.3	21.4	12.4	-999	-999	-999	22.9
12-02-2003	75.2	4.76	29	21.7	24.23	-999	-999	-999	24.1
13-02-2003	53.8	2.56	24.5	21.2	14.42	-999	-999	-999	21.8
14-02-2003	6.3	4.16	25.7	18.7	22.12	-999	-999	-999	21.3
15-02-2003	0	3.46	23.6	18.1	19.06	-999	-999	-999	20.4
16-02-2003	0.1	4.26	24.3	17.3	25.5	-999	-999	-999	20.3
17-02-2003	0	4.86	24.5	18.7	27.89	-999	-999	-999	20.6
18-02-2003	0	4.26	23.7	18.1	24.95	-999	-999	-999	20.1
19-02-2003	0	4.76	24.6	17.9	28.33	-999	-999	-999	20.5
20-02-2003	0	3.26	24.5	17.5	16.84	-999	-999	-999	20.8
21-02-2003	0	2.64	24.8	18.5	12.67	-999	-999	-999	21
22-02-2003	5	3.84	26.2	18.4	20.24	-999	-999	-999	21.8
23-02-2003	0	3.84	26.2	18.5	19.58	-999	-999	-999	22
24-02-2003	0.5	2.54	26	19.8	11.24	-999	-999	-999	22.5
25-02-2003	0	4.74	28.6	21.1	24.75	-999	-999	-999	24.2
26-02-2003	41.6	3.34	27.8	21	14.26	-999	-999	-999	22.9
27-02-2003	2.4	2.44	25.7	18.8	10.51	-999	-999	-999	21.7
28-02-2003	0.3	3.34	26.9	19.7	16.59	-999	-999	-999	22.6
01-03-2003	0	3.33	26.8	19.6	16.29	-999	-999	-999	22.9
02-03-2003	0	3.53	26.9	20.5	17.93	-999	-999	-999	22.7
03-03-2003	0	4.03	25.3	17.4	20.37	-999	-999	-999	21.8
04-03-2003	0	4.23	26.8	19.5	22.58	-999	-999	-999	22
05-03-2003	0.4	3.33	25.8	17.5	15.3	-999	-999	-999	21.5
06-03-2003	0	4.43	24.6	18.8	26.35	-999	-999	-999	21.5
07-03-2003	0	3.63	25.7	19.2	19.39	-999	-999	-999	22.5
08-03-2003	0.5	2.63	25.8	19.9	11.45	-999	-999	-999	21.9
09-03-2003	0	4.43	26.8	17.9	24.13	-999	-999	-999	22.1
10-03-2003	0.2	3.33	26.4	19.2	16.89	-999	-999	-999	22.3
11-03-2003	0	4.92	25.9	19	28.42	-999	-999	-999	22.2
12-03-2003	1.1	4.32	24.7	19.8	27.15	-999	-999	-999	21.7
13-03-2003	0.9	3.42	24.4	20.6	21.27	-999	-999	-999	21.8
14-03-2003	0.1	3.32	26.1	19.4	18.12	-999	-999	-999	22.3
15-03-2003	1	2.42	25.1	19.1	11.21	-999	-999	-999	21.6
16-03-2003	0	3.42	26.8	19.1	17.62	-999	-999	-999	22.4
17-03-2003	0.1	2.42	25.8	19.8	11.38	-999	-999	-999	22.3
18-03-2003	0	2.12	25.5	20.2	9.65	-999	-999	-999	22.4
19-03-2003	0	3.32	26.4	19.8	18	-999	-999	-999	22.7
20-03-2003	0	3.22	27	20.2	16.45	-999	-999	-999	22.7
21-03-2003	0.5	3.5	27	19.2	18	-999	-999	-999	22.4
22-03-2003	0	4.3	27	19.1	23.41	-999	-999	-999	22.7
23-03-2003	7.9	2.8	25.6	19.4	12.6	-999	-999	-999	21.5
24-03-2003	0	3.3	25.4	19.1	17.16	-999	-999	-999	21
25-03-2003	0	4.6	25.3	17	26.97	-999	-999	-999	20.7
26-03-2003	0	3.3	23.3	16.8	20.12	-999	-999	-999	19.9
27-03-2003	0	3.3	24	17.9	20.84	-999	-999	-999	20.4
28-03-2003	0.5	4.1	24	17.9	23.97	-999	-999	-999	20.1
29-03-2003	8.4	2.9	23.7	17.5	15.94	-999	-999	-999	20.4
30-03-2003	10	2.6	26.4	19.8	13.69	-999	-999	-999	21.5
31-03-2003	0	4.1	25.7	18.2	24.77	-999	-999	-999	21.4
01-04-2003	17.7	3.09	25.7	18.2	15.97	-999	-999	-999	20.9
02-04-2003	18	2.39	23.2	19.6	13.49	-999	-999	-999	20.5
03-04-2003	0	3.19	24.6	19.3	19.13	-999	-999	-999	20.7
04-04-2003	0	3.79	24.6	17.2	20.18	-999	-999	-999	20.5
05-04-2003	0.5	2.79	25.1	17.7	14.09	-999	-999	-999	20.7
06-04-2003	0	3.39	26.2	18.4	19.41	-999	-999	-999	21.5
07-04-2003	1.1	2.99	26	18.7	15.63	-999	-999	-999	22
08-04-2003	0	2.99	26.9	20.2	15.49	-999	-999	-999	23.2
09-04-2003	37.5	1.59	25.2	19.5	3.34	-999	-999	-999	22.3
10-04-2003	0	2.89	26.6	20.4	15	-999	-999	-999	23
11-04-2003	1.1	2.37	26.6	20.7	10.87	-999	-999	-999	22.6
12-04-2003	13.4	2.47	26.2	20	9.64	-999	-999	-999	21.4
13-04-2003	0.3	3.07	24.1	18.2	17.49	-999	-999	-999	20.4
14-04-2003	0	2.57	24.9	18.2	13.6	-999	-999	-999	20.9
15-04-2003	0.1	2.87	26.2	18.9	14.97	-999	-999	-999	21.7
16-04-2003	11	1.87	26.4	19.9	9.03	-999	-999	-999	21.4
