treatcode	obsdate	calage	stagnb	stadnb	stafnb	stahtvd	blatnb	blagnb	blastvd	glai	ei	stamsu	stamfm	stamdm	stamwc	stamsuc	stamfbc	stambjc	stampur	blagdm	bladm	agrfm	agrdm	agrwc	sendm
BCSU-0-0-IRR-R570	05-01-2005	1	5.04	-999	-999	-999	6.875	6.167	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
BCSU-0-0-IRR-R570	07-03-2005	1	7.579	-999	-999	-999	15.5	7.125	-999	1.817	-999	-999	16.19	5.68942	64.917	-999	-999	-999	-999	1.82823	-999	-999	8.87	-999	-999
BCSU-0-0-IRR-R570	10-12-2004	1	2.183	-999	-999	-999	-999	-999	-999	0.019	-999	0	0	0	-999	-999	-999	-999	-999	0.03063	-999	-999	0.04067	-999	-999
BCSU-0-0-IRR-R570	11-04-2005	1	7.738	-999	-999	-999	20.208	7.875	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
BCSU-0-0-IRR-R570	15-02-2005	1	6.468	-999	-999	-999	12.459	5.417	-999	-999	-999	-999	-999	0.73777	-999	-999	-999	-999	-999	1.14187	-999	-999	4.26575	-999	-999
BCSU-0-0-IRR-R570	24-01-2005	1	5.437	-999	-999	-999	10.041	5.833	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
BCSU-0-0-IRR-R570	27-07-2005	1	6.23	-999	-999	-999	27.541	5.833	-999	-999	-999	-999	-999	29.28563	-999	-999	-999	-999	-999	6.14095	-999	-999	50.36316	-999	-999
BCSU-0-0-IRR-R570	27-09-2005	1	6.349	-999	-999	-999	32	6.917	-999	4.617	-999	-999	110.833	30.50492	72.48	-999	-999	-999	-999	6.82829	-999	-999	56.89492	-999	-999
BCSU-0-0-IRR-R570	31-05-2005	1	6.27	-999	-999	-999	24.333	5.583	-999	5.168	-999	-999	-999	24.16715	-999	-999	-999	-999	-999	5.31001	-999	-999	38.99731	-999	-999
BCSU-0-0-PLU-R570	05-01-2005	1	5.119	-999	-999	-999	7.375	6.375	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
BCSU-0-0-PLU-R570	07-03-2005	1	6.786	-999	-999	-999	15.875	6.75	-999	2.259	-999	-999	18.09	4.8766	73.079	-999	-999	-999	-999	2.2534	-999	-999	8.76061	-999	-999
BCSU-0-0-PLU-R570	10-12-2004	1	2.143	-999	-999	-999	-999	-999	-999	0.021	-999	0	0	0	-999	-999	-999	-999	-999	0.02421	-999	-999	0.03257	-999	-999
BCSU-0-0-PLU-R570	11-04-2005	1	6.667	-999	-999	-999	20.25	7.875	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
BCSU-0-0-PLU-R570	15-02-2005	1	6.667	-999	-999	-999	13	6	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1.35759	-999	-999	5.29404	-999	-999
BCSU-0-0-PLU-R570	24-01-2005	1	6.548	-999	-999	-999	10.5	6.375	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
BCSU-0-0-PLU-R570	27-07-2005	1	6.31	-999	-999	-999	26.875	5.625	-999	-999	-999	-999	-999	28.4504	-999	-999	-999	-999	-999	6.00731	-999	-999	48.41598	-999	-999
BCSU-0-0-PLU-R570	27-09-2005	1	6.548	-999	-999	-999	33.62	8.75	-999	4.214	-999	-999	111.389	32.42569	70.892	-999	-999	-999	-999	6.11352	-999	-999	54.08891	-999	-999
BCSU-0-0-PLU-R570	31-05-2005	1	6.429	-999	-999	-999	23.625	4.25	-999	5.047	-999	-999	-999	23.76024	-999	-999	-999	-999	-999	5.24273	-999	-999	38.15189	-999	-999
BXAA-2-0-AAA-R570	02-02-1999	1	21.17778	0	-999	-999	-999	-999	-999	3.1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	6.31	-999	-999
BXAA-2-0-AAA-R570	05-05-1999	1	8.344444	13.31111	-999	-999	21.65556	8.344444	-999	5.062586	-999	4.63806	56.70382	12.82962	77.39	13.14	10.62	13.14	13.14	5.470891	8.829	-999	28.30865	-999	5.76
BXAA-2-0-AAA-R570	05-10-1999	1	-999	-999	-999	-999	-999	-999	-999	-999	-999	11.83259	88.9	23.5165	73.555	17.9	12.26	17.9	17.9	-999	-999	-999	-999	-999	-999
BXAA-2-0-AAA-R570	20-07-1999	1	7.34	14.29	-999	-999	21.63333	7.344444	-999	5.639	-999	9.900394	76.51	20.4927	73.219	17.32	11.4	17.32	17.32	6.2054	10.845	-999	38.824	-999	8.14
BXAA-2-0-AAA-R570	22-03-1999	1	11.55556	10.24444	-999	-999	21.8	11.55556	-999	4.15106	-999	0.747799	25.01079	4.095186	83.647	8.51	9.48	8.51	8.51	4.290641	5.916	-999	15.63625	-999	2.72
