nbbgi	treatcode	cycle	varcode	rowspace	begdate	enddate	trialat	trialong	trialalt	soilcode	inisoilvol	rootdepth	irricode	wstacode
9	BCCA-0-0-AAA-R570	0	R570	1.4	11-09-2002	21-08-2003	-21	55	100	CTC04	0.7	100	PLUVIAL	201
9	BCSU-0-0-IRR-R570	0	R570	1.4	29-10-2004	27-09-2005	-21	55	100	CTC04	0.95	100	CSU-0	201
9	BCSU-0-0-PLU-R570	0	R570	1.4	29-10-2004	27-09-2005	-21	55	100	CTC04	0.95	100	PLUVIAL	201
9	BXAA-2-0-AAA-R570	2	R570	1.5	13-10-1998	15-10-1999	-21	55	550	BX	inisoil	80	PLUVIAL	974002
9	BXAA-3-0-AAA-R570	3	R570	1.5	05-10-1999	23-06-2000	-21	55	550	BX	0.25	80	PLUVIAL	974002
9	BXAA-3-0-BAA-R570	3	R570	1.5	05-10-1999	23-06-2000	-21	55	550	BX	0.25	80	PLUVIAL	974002
9	BXAA-3-0-CAA-R570	3	R570	1.5	05-10-1999	23-06-2000	-21	55	550	BX	0.25	80	PLUVIAL	974002
9	CCYC-1-0-D1A-R570	1	R570	1.5	28-07-2001	22-07-2003	-21	55	100	COP4	0.25	80	PLUVIAL	97413520
9	CCYC-1-0-D2A-R570	1	R570	1.5	12-12-2001	22-07-2003	-21	55	100	COP4	0.25	80	PLUVIAL	97413520
9	CCYC-2-0-D1A-R570	2	R570	1.5	22-07-2003	15-11-2004	-21	55	100	COP4	0.25	80	PLUVIAL	97413520
9	CCYC-2-0-D2A-R570	2	R570	1.5	08-09-2003	15-11-2004	-21	55	100	COP4	0.25	80	PLUVIAL	97413520
9	CCYC-2-0-D3A-R570	2	R570	1.5	28-10-2003	15-11-2004	-21	55	100	COP4	0.25	80	PLUVIAL	97413520
9	CCYC-2-0-D4A-R570	2	R570	1.5	04-12-2003	15-11-2004	-21	55	100	COP4	0.25	80	PLUVIAL	97413520
9	CP02-0-0-AAA-R570	0	R570	1.5	24-12-1992	03-08-1994	-21	55	100	COP2	0.25	80	PLUVIAL	97413520
9	CP02-1-0-AAA-R570	1	R570	1.5	03-08-1994	10-05-1996	-21	55	100	COP2	inisoil	80	P02-1	97413520
9	CP04-0-0-AAA-R570	0	R570	1.5	03-03-1994	06-09-1995	-21	55	100	COP4	0.25	80	NC	97413520
9	CP04-1-0-AAA-R570	1	R570	1.5	06-09-1995	30-10-1997	-21	55	100	COP4	0.25	80	PLUVIAL	97413520
9	CP04-3-0-AAA-R570	3	R570	1.5	05-08-1998	27-06-2000	-21	55	100	COP4	inisoil	80	PLUVIAL	97413520
9	CVA1-0-0-AAA-R570	0	R570	1.5	05-03-2003	29-06-2004	-21	55	100	COP4	0.8	80	PLUVIAL	97413520
9	CVA1-1-0-AAA-R570	1	R570	1.5	29-06-2004	07-12-2005	-21	55	100	COP4	0.8	80	PLUVIAL	97413520
15	DEL1-0-0-AAA-R570	0	R570	1.5	24-02-2009	09-06-2010	-20.903533	55.532001	70	RU100_80	0.8	80	RUCILMDA0	97418123
15	DEL1-0-1-AAA-R570	0	R570	1.5	24-02-2009	09-06-2010	-20.903533	55.532001	70	RU100_80	0.8	80	RUCILMDA0	97418123
15	DEL1-0-2-AAA-R570	0	R570	1.5	24-02-2009	09-06-2010	-20.903533	55.532001	70	RU100_80	0.8	80	RUCILMDA0	97418123
15	DEL1-0-3-AAA-R570	0	R570	1.5	24-02-2009	09-06-2010	-20.903533	55.532001	70	RU100_80	0.8	80	RUCILMDA0	97418123
15	DEL2-0-0-AAA-R570	0	R570	1.5	02-04-2009	28-06-2010	-21.06909	55.294127	650	RU100_80	0.8	80	NC	974003
15	DEL2-0-1-AAA-R570	0	R570	1.5	02-04-2009	28-06-2010	-21.06909	55.294127	650	RU100_80	0.8	80	NC	974003
15	DEL2-0-2-AAA-R570	0	R570	1.5	02-04-2009	28-06-2010	-21.06909	55.294127	650	RU100_80	0.8	80	NC	974003
15	DEL2-0-3-AAA-R570	0	R570	1.5	02-04-2009	28-06-2010	-21.06909	55.294127	650	RU100_80	0.8	80	NC	974003
9	DSES-0-0-AAA-R570	0	R570	1.5	28-07-2008	02-11-2009	-21.163408	55.216847	20	RU100_80	0.5	80	DSES0	97404540
9	DSES-1-0-AAA-R570	1	R570	1.5	02-11-2009	30-11-2010	-21.163408	55.216847	20	RU100_80	0.5	80	DSES1	97404540
9	DSLM-0-0-AAA-R570	0	R570	1.5	22-04-2008	29-10-2009	-20.903533	55.532001	70	RU100_80	0.5	80	DSLM0	97418123
9	DSLM-1-0-AAA-R570	1	R570	1.5	29-10-2009	30-11-2010	-20.903533	55.532001	70	RU100_80	0.5	80	DSLM1	97418123
9	DSME-0-0-AAA-R570	0	R570	1.5	21-03-2008	23-10-2009	-20.960708	55.625726	400	RU100_80	0.5	80	PLUVIAL	103
9	DSME-1-0-AAA-R570	1	R570	1.5	23-10-2009	30-11-2010	-20.960708	55.625726	400	RU100_80	0.5	80	PLUVIAL	103
9	DSVB-0-0-AAA-R570	0	R570	1.5	27-01-2009	07-07-2010	-21.06909	55.294127	720	RU100_80	0.5	80	PLUVIAL	101
9	GGO1-0-0-IRI-R570	0	R570	1.5	20-10-2000	15-03-2002	-21	55	100	GODET	0.17	80	GPGO570I01	97105
9	GGO1-0-0-PLU-R570	0	R570	1.5	20-10-2000	03-03-2002	-21	55	100	GODET	0.17	80	NC	97105
9	GGO1-1-0-PLU-R570	1	R570	1.5	03-03-2002	26-04-2003	-21	55	100	GODET	0.17	80	NC	97105
9	GRB1-0-0-AAA-R570	0	R570	1.5	01-12-2010	10-09-2011	16.164722	61.467222	100	RU100_100	0.5	100	PLUVIAL	97100
9	GSJ1-0-0-AAA-R570	0	R570	1.5	05-07-2000	31-05-2001	-21	55	100	STJEAN	0.5	80	GPSJ57001	97117
9	GSJ1-1-0-AAA-R570	1	R570	1.5	31-05-2001	22-05-2002	-21	55	100	STJEAN	0.5	80	NC	97117
9	GVER-1-0-AAA-R570	1	R570	1.5	20-07-2000	10-02-2002	-21	55	100	rbver1	0.51	100	NC	97198
9	LBIR-1-0-IR1-R570	1	R570	1.5	17-12-2001	14-11-2002	-21	55	100	LBIR100	0.25	80	NC	97418123
9	LBIR-1-0-IR2-R570	1	R570	1.5	17-12-2001	14-11-2002	-21	55	100	LBIR100	0.25	80	NC	97418123
9	LBIR-1-0-IR3-R570	1	R570	1.5	17-12-2001	14-11-2002	-21	55	100	LBIR100	0.25	80	NC	97418123
9	LBIR-1-0-IR4-R570	1	R570	1.5	17-12-2001	14-11-2002	-21	55	100	LBIR100	0.25	80	NC	97418123
9	LBIR-3-0-IRI-R570	3	R570	1.5	22-11-2003	15-11-2004	-21	55	100	LBIR100	0.25	80	LBIIR04	97418123
9	LBIR-3-0-PLU-R570	3	R570	1.5	21-11-2003	15-11-2004	-21	55	100	LBIR100	0.25	80	PLUVIAL	97418123
9	LBIR-4-0-IRI-R570	4	R570	1.5	15-11-2004	25-09-2005	-21	55	100	LBIR100	0.25	80	LBIIR05	97418123
9	LBIR-4-0-PLU-R570	4	R570	1.5	15-11-2004	25-09-2005	-21	55	100	LBIR100	0.25	80	PLUVIAL	97418123
9	LBNV-1-0-N00-R570	1	R570	1.5	14-12-2001	09-09-2002	-21	55	100	RU100_80	0.25	80	NC	97418123
9	LBNV-1-0-N13-R570	1	R570	1.5	14-12-2001	18-09-2002	-21	55	100	RU100_80	0.25	80	NC	97418123
9	LBNV-1-0-N30-R570	1	R570	1.5	14-12-2001	30-09-2002	-21	55	100	RU100_80	0.25	80	NC	97418123
9	LBNV-2-0-N00-R570	2	R570	1.5	09-09-2002	18-09-2003	-21	55	100	RU100_80	0.25	80	NC	97418123
9	LBNV-2-0-N13-R570	2	R570	1.5	18-09-2002	18-09-2003	-21	55	100	RU100_80	0.25	80	NC	97418123
9	LBNV-2-0-N30-R570	2	R570	1.5	30-09-2002	18-09-2003	-21	55	100	RU100_80	0.25	80	NC	97418123
