irricode	irridate	irridose
BVIT687	10/04/1986	3.4
BVIT687	11/04/1986	2.1
BVIT687	12/04/1986	2.5
BVIT687	13/04/1986	2.5
BVIT687	14/04/1986	4.9
BVIT687	15/04/1986	4.9
BVIT687	16/04/1986	4.9
BVIT687	17/04/1986	4.9
BVIT687	18/04/1986	3.4
BVIT687	19/04/1986	0.4
BVIT687	22/04/1986	2.3
BVIT687	26/04/1986	1.6
BVIT687	27/04/1986	2.3
BVIT687	28/04/1986	0.7
BVIT687	29/04/1986	8.2
BVIT687	02/05/1986	8.2
BVIT687	03/05/1986	0.4
BVIT687	05/05/1986	0.6
BVIT687	06/05/1986	1.8
BVIT687	07/05/1986	0.8
BVIT687	08/05/1986	1.7
BVIT687	09/05/1986	1.8
BVIT687	10/05/1986	1.8
BVIT687	11/05/1986	1.8
BVIT687	12/05/1986	1.2
BVIT687	13/05/1986	1.5
BVIT687	14/05/1986	1.6
BVIT687	16/05/1986	1.5
BVIT687	17/05/1986	1.7
BVIT687	18/05/1986	1.6
BVIT687	20/05/1986	1.8
BVIT687	21/05/1986	1.8
BVIT687	22/05/1986	1.1
BVIT687	24/05/1986	4.1
BVIT687	25/05/1986	1.8
BVIT687	26/05/1986	1.9
BVIT687	27/05/1986	1.9
BVIT687	31/05/1986	1.9
BVIT687	01/06/1986	1.9
BVIT687	02/06/1986	1.9
BVIT687	04/06/1986	3.3
BVIT687	05/06/1986	1.9
BVIT687	06/06/1986	1.9
BVIT687	07/06/1986	1.9
BVIT687	08/06/1986	1.7
BVIT687	09/06/1986	1.7
BVIT687	10/06/1986	2.8
BVIT687	13/06/1986	0.9
BVIT687	14/06/1986	1.7
BVIT687	15/06/1986	1.7
BVIT687	16/06/1986	0.4
BVIT687	17/06/1986	1.6
BVIT687	20/06/1986	1.5
BVIT687	21/06/1986	0.9
BVIT687	22/06/1986	1.6
BVIT687	23/06/1986	1.6
BVIT687	24/06/1986	1.6
BVIT687	25/06/1986	1.6
BVIT687	26/06/1986	0.4
BVIT687	28/06/1986	0.4
BVIT687	02/07/1986	1.6
BVIT687	03/07/1986	1.6
BVIT687	04/07/1986	0.7
BVIT687	05/07/1986	2.6
BVIT687	06/07/1986	1.6
BVIT687	13/07/1986	1.1
BVIT687	14/07/1986	1.8
BVIT687	15/07/1986	1.8
BVIT687	16/07/1986	1.8
BVIT687	17/07/1986	1.8
BVIT687	18/07/1986	1.8
BVIT687	19/07/1986	1.8
BVIT687	20/07/1986	1.8
BVIT687	21/07/1986	1.7
BVIT687	22/07/1986	1.7
BVIT687	23/07/1986	1.7
BVIT687	24/07/1986	1.7
BVIT687	25/07/1986	3.4
BVIT687	28/07/1986	1.9
BVIT687	29/07/1986	1.6
BVIT687	03/08/1986	2.5
BVIT687	11/08/1986	1.9
BVIT687	12/08/1986	1
BVIT687	15/08/1986	1.9
BVIT687	17/08/1986	0.4
BVIT687	22/08/1986	1.8
BVIT687	23/08/1986	2.1
BVIT687	28/08/1986	1
BVIT687	31/08/1986	0.9
BVIT687	01/09/1986	2.9
BVIT687	02/09/1986	1.7
BVIT687	03/09/1986	1.7
BVIT687	04/09/1986	2.9
BVIT687	05/09/1986	5.7
BVIT687	08/09/1986	2.7
BVIT687	09/09/1986	3.4
BVIT687	10/09/1986	3.4
BVIT687	11/09/1986	3.4
BVIT687	12/09/1986	3.4
BVIT687	13/09/1986	3.4
BVIT687	14/09/1986	3.4
BVIT687	18/09/1986	3.5
BVIT687	19/09/1986	3.5
BVIT687	20/09/1986	1.1
BVIT687	21/09/1986	3.5
BVIT687	22/09/1986	2.6
BVIT687	23/09/1986	2.6
BVIT687	24/09/1986	2.6
BVIT687	25/09/1986	2.6
BVIT687	26/09/1986	2.6
BVIT687	27/09/1986	2.6
BVIT687	28/09/1986	2.6
BVIT687	29/09/1986	1.7
BVIT687	30/09/1986	1.7
BVIT687	01/10/1986	1.7
BVIT687	02/10/1986	1.7
BVIT687	03/10/1986	1.7
BVIT687	05/10/1986	0.4
BVIT687	08/10/1986	0.1
BVIT687	09/10/1986	0.1
BVIT687	10/10/1986	0.1
BVIT687	11/10/1986	0.1
BVIT687	12/10/1986	1.2
BVIT687	13/10/1986	0.8
BVIT687	14/10/1986	0.1
BVIT687	15/10/1986	2.2
BVIT687	16/10/1986	4.9
BVIT687	17/10/1986	4.9
BVIT687	18/10/1986	4.9
BVIT687	19/10/1986	0.4
BVIT687	20/10/1986	0.1
BVIT687	21/10/1986	3
BVIT687	22/10/1986	5.3
BVIT687	23/10/1986	5.3
BVIT687	24/10/1986	5.3
BVIT687	25/10/1986	5.3
BVIT687	26/10/1986	5.3
BVIT687	27/10/1986	5.7
BVIT687	28/10/1986	5.7
BVIT687	29/10/1986	5.7
BVIT687	30/10/1986	5.7
BVIT687	31/10/1986	5.7
BVIT687	01/11/1986	5.7
BVIT687	02/11/1986	5.7
BVIT687	03/11/1986	4.2
BVIT687	04/11/1986	5.8
BVIT687	05/11/1986	5.8
BVIT687	06/11/1986	5.8
BVIT687	07/11/1986	5.8
BVIT687	08/11/1986	5.8
BVIT687	09/11/1986	5.8
BVIT687	10/11/1986	6.3
BVIT687	11/11/1986	6.3
BVIT687	12/11/1986	6.3
BVIT687	13/11/1986	6.3
BVIT687	14/11/1986	6.3
BVIT687	15/11/1986	6.3
BVIT687	16/11/1986	6.3
BVIT687	17/11/1986	4.9
BVIT687	18/11/1986	6.4
BVIT687	19/11/1986	2.4
BVIT687	20/11/1986	6.4
BVIT687	21/11/1986	5.3
BVIT687	22/11/1986	6.4
BVIT687	23/11/1986	6.4
BVIT687	24/11/1986	6.1
BVIT687	25/11/1986	6.1
BVIT687	26/11/1986	3.1
BVIT687	27/11/1986	6.1
BVIT687	28/11/1986	6.1
BVIT687	29/11/1986	6.1
BVIT687	30/11/1986	6.1
BVIT687	01/12/1986	0.1
BVIT687	02/12/1986	0.1
BVIT687	03/12/1986	0.1
BVIT687	04/12/1986	0.1
BVIT687	05/12/1986	0.1
BVIT687	07/12/1986	2.5
BVIT687	08/12/1986	5.5
BVIT687	09/12/1986	2.6
BVIT687	10/12/1986	5.5
BVIT687	11/12/1986	5.5
BVIT687	12/12/1986	5.5
BVIT687	13/12/1986	5.5
BVIT687	14/12/1986	5.5
BVIT687	15/12/1986	5.1
BVIT687	20/12/1986	0.1
BVIT687	21/12/1986	5.2
BVIT687	22/12/1986	6.1
BVIT687	23/12/1986	0.1
