layer	plotcyclecode	obsoildate	obsoilib	obsoilval
1	BCSU-0-0-IRR-RB72454	11/11/2004	hvsol	0.2135191
1	BCSU-0-0-IRR-RB72454	12/11/2004	hvsol	0.2984707
1	BCSU-0-0-IRR-RB72454	16/11/2004	hvsol	0.3553534
1	BCSU-0-0-IRR-RB72454	17/11/2004	hvsol	0.3016616
1	BCSU-0-0-IRR-RB72454	19/11/2004	hvsol	0.2750655
1	BCSU-0-0-IRR-RB72454	22/11/2004	hvsol	0.2298236
1	BCSU-0-0-IRR-RB72454	24/11/2004	hvsol	0.2304944
1	BCSU-0-0-IRR-RB72454	26/11/2004	hvsol	0.2229386
1	BCSU-0-0-IRR-RB72454	29/11/2004	hvsol	0.2788344
1	BCSU-0-0-IRR-RB72454	02/12/2004	hvsol	0.2191235
1	BCSU-0-0-IRR-RB72454	03/12/2004	hvsol	0.1906645
1	BCSU-0-0-IRR-RB72454	04/12/2004	hvsol	0.1952436
1	BCSU-0-0-IRR-RB72454	11/12/2004	hvsol	0.2607538
1	BCSU-0-0-IRR-RB72454	18/12/2004	hvsol	0.2529854
1	BCSU-0-0-IRR-RB72454	21/12/2004	hvsol	0.2554583
1	BCSU-0-0-IRR-RB72454	23/12/2004	hvsol	0.2951435
1	BCSU-0-0-IRR-RB72454	25/12/2004	hvsol	0.2893201
1	BCSU-0-0-IRR-RB72454	28/12/2004	hvsol	0.3116412
1	BCSU-0-0-IRR-RB72454	30/12/2004	hvsol	0.2468961
1	BCSU-0-0-IRR-RB72454	01/01/2005	hvsol	0.2179938
1	BCSU-0-0-IRR-RB72454	04/01/2005	hvsol	0.2461825
1	BCSU-0-0-IRR-RB72454	06/01/2005	hvsol	0.3270209
1	BCSU-0-0-IRR-RB72454	08/01/2005	hvsol	0.2665695
1	BCSU-0-0-IRR-RB72454	11/01/2005	hvsol	0.2607538
1	BCSU-0-0-IRR-RB72454	13/01/2005	hvsol	0.2879276
1	BCSU-0-0-IRR-RB72454	15/01/2005	hvsol	0.2395564
1	BCSU-0-0-IRR-RB72454	18/01/2005	hvsol	0.1912222
1	BCSU-0-0-IRR-RB72454	20/01/2005	hvsol	0.3030292
1	BCSU-0-0-IRR-RB72454	22/01/2005	hvsol	0.3063841
1	BCSU-0-0-IRR-RB72454	25/01/2005	hvsol	0.2476198
1	BCSU-0-0-IRR-RB72454	27/01/2005	hvsol	0.3332922
1	BCSU-0-0-IRR-RB72454	29/01/2005	hvsol	0.2951435
1	BCSU-0-0-IRR-RB72454	01/02/2005	hvsol	0.2852151
1	BCSU-0-0-IRR-RB72454	03/02/2005	hvsol	0.272979
1	BCSU-0-0-IRR-RB72454	05/02/2005	hvsol	0.2865594
1	BCSU-0-0-IRR-RB72454	08/02/2005	hvsol	0.1874864
1	BCSU-0-0-IRR-RB72454	10/02/2005	hvsol	0.1729232
1	BCSU-0-0-IRR-RB72454	12/02/2005	hvsol	0.1680971
1	BCSU-0-0-IRR-RB72454	15/02/2005	hvsol	0.1653585
1	BCSU-0-0-IRR-RB72454	17/02/2005	hvsol	0.1646514
