obsplantdate;obsplantlib;obsplantval;varcyclecode
10/12/2004;htvds;4.25;BCSU-0-0-IRR-NCO376
10/12/2004;lai;0.026;BCSU-0-0-IRR-NCO376
10/12/2004;mftu;0;BCSU-0-0-IRR-NCO376
03/02/2009;mftu;19.43333;DSES-0-0-AAA-R570
10/12/2004;mslv;0.03744;BCSU-0-0-IRR-NCO376
10/12/2004;mstu;0;BCSU-0-0-IRR-NCO376
10/12/2004;nbtigv;3.611;BCSU-0-0-IRR-NCO376
10/12/2004;nbtv;3.611;BCSU-0-0-IRR-NCO376
05/01/2005;htvds;15.5;BCSU-0-0-IRR-NCO376
05/01/2005;nblts;7.958;BCSU-0-0-IRR-NCO376
05/01/2005;nblvs;7.083;BCSU-0-0-IRR-NCO376
05/01/2005;nbtv;8.135;BCSU-0-0-IRR-NCO376
24/01/2005;htvds;26.875;BCSU-0-0-IRR-NCO376
24/01/2005;nblts;11.583;BCSU-0-0-IRR-NCO376
24/01/2005;nblvs;7.5;BCSU-0-0-IRR-NCO376
24/01/2005;nbtv;11.825;BCSU-0-0-IRR-NCO376
15/02/2005;htvds;41;BCSU-0-0-IRR-NCO376
06/04/2009;mftu;87.44444;DSES-0-0-AAA-R570
15/02/2005;mslv;1.51753;BCSU-0-0-IRR-NCO376
15/02/2005;mstu;0;BCSU-0-0-IRR-NCO376
15/02/2005;nblts;14.042;BCSU-0-0-IRR-NCO376
15/02/2005;nblvs;6.25;BCSU-0-0-IRR-NCO376
15/02/2005;nbtigv;12.103;BCSU-0-0-IRR-NCO376
15/02/2005;nbtv;12.103;BCSU-0-0-IRR-NCO376
07/03/2005;htvds;90;BCSU-0-0-IRR-NCO376
07/03/2005;lai;2.51;BCSU-0-0-IRR-NCO376
07/03/2005;mftu;30.67;BCSU-0-0-IRR-NCO376
03/06/2009;mftu;137.08889;DSES-0-0-AAA-R570
07/03/2005;mslv;2.46694;BCSU-0-0-IRR-NCO376
07/03/2005;mstu;7.03453;BCSU-0-0-IRR-NCO376
07/03/2005;nblts;17.334;BCSU-0-0-IRR-NCO376
07/03/2005;nblvs;7.667;BCSU-0-0-IRR-NCO376
07/03/2005;nbtigv;12.143;BCSU-0-0-IRR-NCO376
07/03/2005;nbtv;12.143;BCSU-0-0-IRR-NCO376
11/04/2005;htvds;119.75;BCSU-0-0-IRR-NCO376
11/04/2005;nblts;22.167;BCSU-0-0-IRR-NCO376
11/04/2005;nblvs;8.667;BCSU-0-0-IRR-NCO376
11/04/2005;nbtv;12.698;BCSU-0-0-IRR-NCO376
31/05/2005;htvds;168.75;BCSU-0-0-IRR-NCO376
31/05/2005;lai;5.315;BCSU-0-0-IRR-NCO376
17/08/2009;mftu;145.98889;DSES-0-0-AAA-R570
31/05/2005;mslv;6.35373;BCSU-0-0-IRR-NCO376
31/05/2005;mstu;29.08663;BCSU-0-0-IRR-NCO376
31/05/2005;nblts;25.917;BCSU-0-0-IRR-NCO376
31/05/2005;nblvs;6.375;BCSU-0-0-IRR-NCO376
31/05/2005;nbtigv;12.341;BCSU-0-0-IRR-NCO376
31/05/2005;nbtv;12.341;BCSU-0-0-IRR-NCO376
27/07/2005;htvds;196.125;BCSU-0-0-IRR-NCO376
19/10/2009;mftu;168.47778;DSES-0-0-AAA-R570
27/07/2005;mslv;7.41129;BCSU-0-0-IRR-NCO376
27/07/2005;mstu;36.1554;BCSU-0-0-IRR-NCO376
27/07/2005;nblts;28.625;BCSU-0-0-IRR-NCO376
27/07/2005;nblvs;6.25;BCSU-0-0-IRR-NCO376
27/07/2005;nbtigv;12.302;BCSU-0-0-IRR-NCO376
27/07/2005;nbtv;12.302;BCSU-0-0-IRR-NCO376
27/09/2005;htvds;220;BCSU-0-0-IRR-NCO376
27/09/2005;lai;4.688;BCSU-0-0-IRR-NCO376
27/09/2005;mftu;158.843;BCSU-0-0-IRR-NCO376
03/02/2009;mftu;26.40556;DSES-0-0-AAA-R579
27/09/2005;mslv;8.4598;BCSU-0-0-IRR-NCO376
27/09/2005;mstu;44.46242;BCSU-0-0-IRR-NCO376
27/09/2005;nblts;33.834;BCSU-0-0-IRR-NCO376
27/09/2005;nblvs;8.292;BCSU-0-0-IRR-NCO376
27/09/2005;nbtigv;12.302;BCSU-0-0-IRR-NCO376
27/09/2005;nbtv;12.302;BCSU-0-0-IRR-NCO376
10/12/2004;htvds;3.138;BCSU-0-0-IRR-R570
10/12/2004;lai;0.019;BCSU-0-0-IRR-R570
10/12/2004;mftu;0;BCSU-0-0-IRR-R570
06/04/2009;mftu;72.51111;DSES-0-0-AAA-R579
10/12/2004;mslv;0.03063;BCSU-0-0-IRR-R570
10/12/2004;mstu;0;BCSU-0-0-IRR-R570
