plotcode;trialcode;modality;surface;nbbgi;rowspace;block
BCCA-0-AAA-R570;BCCA;AAA;100;9;1.4;0
BCCA-0-AAA-SP791011;BCCA;AAA;100;9;1.4;0
BCSU-0-IRR-NCO376;BCSU;IRR;100;9;1.4;0
BCSU-0-IRR-R570;BCSU;IRR;100;9;1.4;0
BCSU-0-IRR-RB72454;BCSU;IRR;100;9;1.4;0
BCSU-0-IRR-SP832847;BCSU;IRR;100;9;1.4;0
BCSU-0-PLU-NCO376;BCSU;PLU;100;9;1.4;0
BCSU-0-PLU-R570;BCSU;PLU;100;9;1.4;0
BCSU-0-PLU-RB72454;BCSU;PLU;100;9;1.4;0
BCSU-0-PLU-SP832847;BCSU;PLU;100;9;1.4;0
BCTC-0-AAA-R570;BCTC;AAA;100;9;1.4;0
BCTC-0-AAA-SP791011;BCTC;AAA;100;9;1.4;0
BXAA-0-AAA-R570;BXAA;AAA;100;9;1.5;0
BXAA-0-BAA-R570;BXAA;BAA;100;9;1.5;0
BXAA-0-CAA-R570;BXAA;CAA;100;9;1.5;0
CCYC-0-D1A-R570;CCYC;D1A;100;9;1.5;0
CCYC-0-D2A-R570;CCYC;D2A;100;9;1.5;0
CCYC-0-D3A-R570;CCYC;D3A;100;9;1.5;0
CCYC-0-D4A-R570;CCYC;D4A;100;9;1.5;0
CP02-0-AAA-R570;CP02;AAA;100;9;1.5;0
CP04-0-AAA-R570;CP04;AAA;100;9;1.5;0
CVA1-0-AAA-R570;CVA1;AAA;100;9;1.5;0
CVA1-0-AAA-R575;CVA1;AAA;100;9;1.5;0
CVA1-0-AAA-R577;CVA1;AAA;100;9;1.5;0
CVA1-0-AAA-R579;CVA1;AAA;100;9;1.5;0
DEL1-0-AAA-B37172;DEL1;AAA;100;15;1.5;0
DEL1-0-AAA-CO312;DEL1;AAA;100;15;1.5;0
DEL1-0-AAA-CP76331;DEL1;AAA;100;15;1.5;0
DEL1-0-AAA-F152;DEL1;AAA;100;15;1.5;0
DEL1-0-AAA-F160;DEL1;AAA;100;15;1.5;0
DEL1-0-AAA-H564848;DEL1;AAA;100;15;1.5;0
DEL1-0-AAA-LF669657;DEL1;AAA;100;15;1.5;0
DEL1-0-AAA-M37664;DEL1;AAA;100;15;1.5;0
DEL1-0-AAA-MEX68200;DEL1;AAA;100;15;1.5;0
DEL1-0-AAA-NCO376;DEL1;AAA;100;15;1.5;0
DEL1-0-AAA-NIF5;DEL1;AAA;100;15;1.5;0
DEL1-0-AAA-Q110;DEL1;AAA;100;15;1.5;0
DEL1-0-AAA-R570;DEL1;AAA;100;15;1.5;0
DEL1-0-AAA-R573;DEL1;AAA;100;15;1.5;0
DEL1-0-AAA-R579;DEL1;AAA;100;15;1.5;0
DEL1-0-AAA-R83288;DEL1;AAA;100;15;1.5;0
DEL1-0-AAA-R932022;DEL1;AAA;100;15;1.5;0
DEL1-0-AAA-SM8116;DEL1;AAA;100;15;1.5;0
DEL1-0-AAA-SP733108;DEL1;AAA;100;15;1.5;0
DEL1-0-AAA-SP801842;DEL1;AAA;100;15;1.5;0
DEL1-1-AAA-B37172;DEL1;AAA;100;15;1.5;1
DEL1-1-AAA-CO312;DEL1;AAA;100;15;1.5;1
DEL1-1-AAA-CP76331;DEL1;AAA;100;15;1.5;1
DEL1-1-AAA-F152;DEL1;AAA;100;15;1.5;1
DEL1-1-AAA-F160;DEL1;AAA;100;15;1.5;1
DEL1-1-AAA-H564848;DEL1;AAA;100;15;1.5;1
DEL1-1-AAA-LF669657;DEL1;AAA;100;15;1.5;1
DEL1-1-AAA-M37664;DEL1;AAA;100;15;1.5;1
DEL1-1-AAA-MEX68200;DEL1;AAA;100;15;1.5;1
DEL1-1-AAA-NCO376;DEL1;AAA;100;15;1.5;1
DEL1-1-AAA-NIF5;DEL1;AAA;100;15;1.5;1
DEL1-1-AAA-Q110;DEL1;AAA;100;15;1.5;1
DEL1-1-AAA-R570;DEL1;AAA;100;15;1.5;1
DEL1-1-AAA-R573;DEL1;AAA;100;15;1.5;1
DEL1-1-AAA-R579;DEL1;AAA;100;15;1.5;1
DEL1-1-AAA-R83288;DEL1;AAA;100;15;1.5;1
DEL1-1-AAA-R932022;DEL1;AAA;100;15;1.5;1
DEL1-1-AAA-SM8116;DEL1;AAA;100;15;1.5;1
DEL1-1-AAA-SP733108;DEL1;AAA;100;15;1.5;1
DEL1-1-AAA-SP801842;DEL1;AAA;100;15;1.5;1
DEL1-2-AAA-B37172;DEL1;AAA;100;15;1.5;2
DEL1-2-AAA-CO312;DEL1;AAA;100;15;1.5;2
DEL1-2-AAA-CP76331;DEL1;AAA;100;15;1.5;2
DEL1-2-AAA-F152;DEL1;AAA;100;15;1.5;2
DEL1-2-AAA-F160;DEL1;AAA;100;15;1.5;2
DEL1-2-AAA-H564848;DEL1;AAA;100;15;1.5;2
DEL1-2-AAA-LF669657;DEL1;AAA;100;15;1.5;2
DEL1-2-AAA-M37664;DEL1;AAA;100;15;1.5;2
DEL1-2-AAA-MEX68200;DEL1;AAA;100;15;1.5;2
DEL1-2-AAA-NCO376;DEL1;AAA;100;15;1.5;2
DEL1-2-AAA-NIF5;DEL1;AAA;100;15;1.5;2
DEL1-2-AAA-Q110;DEL1;AAA;100;15;1.5;2
DEL1-2-AAA-R570;DEL1;AAA;100;15;1.5;2
DEL1-2-AAA-R573;DEL1;AAA;100;15;1.5;2
DEL1-2-AAA-R579;DEL1;AAA;100;15;1.5;2
DEL1-2-AAA-R83288;DEL1;AAA;100;15;1.5;2
DEL1-2-AAA-R932022;DEL1;AAA;100;15;1.5;2
DEL1-2-AAA-SM8116;DEL1;AAA;100;15;1.5;2
DEL1-2-AAA-SP733108;DEL1;AAA;100;15;1.5;2
DEL1-2-AAA-SP801842;DEL1;AAA;100;15;1.5;2
DEL1-3-AAA-B37172;DEL1;AAA;100;15;1.5;3
DEL1-3-AAA-CO312;DEL1;AAA;100;15;1.5;3
DEL1-3-AAA-CP76331;DEL1;AAA;100;15;1.5;3
DEL1-3-AAA-F152;DEL1;AAA;100;15;1.5;3
DEL1-3-AAA-F160;DEL1;AAA;100;15;1.5;3
DEL1-3-AAA-H564848;DEL1;AAA;100;15;1.5;3
DEL1-3-AAA-LF669657;DEL1;AAA;100;15;1.5;3
DEL1-3-AAA-M37664;DEL1;AAA;100;15;1.5;3
DEL1-3-AAA-MEX68200;DEL1;AAA;100;15;1.5;3
DEL1-3-AAA-NCO376;DEL1;AAA;100;15;1.5;3
DEL1-3-AAA-NIF5;DEL1;AAA;100;15;1.5;3
DEL1-3-AAA-Q110;DEL1;AAA;100;15;1.5;3
DEL1-3-AAA-R570;DEL1;AAA;100;15;1.5;3
DEL1-3-AAA-R573;DEL1;AAA;100;15;1.5;3
DEL1-3-AAA-R579;DEL1;AAA;100;15;1.5;3
DEL1-3-AAA-R83288;DEL1;AAA;100;15;1.5;3
DEL1-3-AAA-R932022;DEL1;AAA;100;15;1.5;3
DEL1-3-AAA-SM8116;DEL1;AAA;100;15;1.5;3
DEL1-3-AAA-SP733108;DEL1;AAA;100;15;1.5;3
DEL1-3-AAA-SP801842;DEL1;AAA;100;15;1.5;3
DEL2-0-AAA-B37172;DEL2;AAA;100;15;1.5;0
DEL2-0-AAA-CO312;DEL2;AAA;100;15;1.5;0
DEL2-0-AAA-CP76331;DEL2;AAA;100;15;1.5;0
DEL2-0-AAA-F152;DEL2;AAA;100;15;1.5;0
DEL2-0-AAA-F160;DEL2;AAA;100;15;1.5;0
DEL2-0-AAA-H564848;DEL2;AAA;100;15;1.5;0
DEL2-0-AAA-LF669657;DEL2;AAA;100;15;1.5;0
DEL2-0-AAA-M37664;DEL2;AAA;100;15;1.5;0
DEL2-0-AAA-MEX68200;DEL2;AAA;100;15;1.5;0
DEL2-0-AAA-NCO376;DEL2;AAA;100;15;1.5;0
DEL2-0-AAA-NIF5;DEL2;AAA;100;15;1.5;0
DEL2-0-AAA-Q110;DEL2;AAA;100;15;1.5;0
DEL2-0-AAA-R570;DEL2;AAA;100;15;1.5;0
DEL2-0-AAA-R573;DEL2;AAA;100;15;1.5;0
DEL2-0-AAA-R579;DEL2;AAA;100;15;1.5;0
DEL2-0-AAA-R83288;DEL2;AAA;100;15;1.5;0
DEL2-0-AAA-R932022;DEL2;AAA;100;15;1.5;0
DEL2-0-AAA-SM8116;DEL2;AAA;100;15;1.5;0
DEL2-0-AAA-SP733108;DEL2;AAA;100;15;1.5;0
DEL2-0-AAA-SP801842;DEL2;AAA;100;15;1.5;0
DEL2-1-AAA-B37172;DEL2;AAA;100;15;1.5;1
DEL2-1-AAA-CO312;DEL2;AAA;100;15;1.5;1
DEL2-1-AAA-CP76331;DEL2;AAA;100;15;1.5;1
DEL2-1-AAA-F152;DEL2;AAA;100;15;1.5;1
DEL2-1-AAA-F160;DEL2;AAA;100;15;1.5;1
DEL2-1-AAA-H564848;DEL2;AAA;100;15;1.5;1
DEL2-1-AAA-LF669657;DEL2;AAA;100;15;1.5;1
DEL2-1-AAA-M37664;DEL2;AAA;100;15;1.5;1
DEL2-1-AAA-MEX68200;DEL2;AAA;100;15;1.5;1
DEL2-1-AAA-NCO376;DEL2;AAA;100;15;1.5;1
DEL2-1-AAA-NIF5;DEL2;AAA;100;15;1.5;1
DEL2-1-AAA-Q110;DEL2;AAA;100;15;1.5;1
DEL2-1-AAA-R570;DEL2;AAA;100;15;1.5;1
DEL2-1-AAA-R573;DEL2;AAA;100;15;1.5;1
DEL2-1-AAA-R579;DEL2;AAA;100;15;1.5;1
DEL2-1-AAA-R83288;DEL2;AAA;100;15;1.5;1
DEL2-1-AAA-R932022;DEL2;AAA;100;15;1.5;1
DEL2-1-AAA-SM8116;DEL2;AAA;100;15;1.5;1
DEL2-1-AAA-SP733108;DEL2;AAA;100;15;1.5;1
DEL2-1-AAA-SP801842;DEL2;AAA;100;15;1.5;1
DEL2-2-AAA-B37172;DEL2;AAA;100;15;1.5;2
DEL2-2-AAA-CO312;DEL2;AAA;100;15;1.5;2
DEL2-2-AAA-CP76331;DEL2;AAA;100;15;1.5;2
DEL2-2-AAA-F152;DEL2;AAA;100;15;1.5;2
DEL2-2-AAA-F160;DEL2;AAA;100;15;1.5;2
DEL2-2-AAA-H564848;DEL2;AAA;100;15;1.5;2
DEL2-2-AAA-LF669657;DEL2;AAA;100;15;1.5;2
DEL2-2-AAA-M37664;DEL2;AAA;100;15;1.5;2
DEL2-2-AAA-MEX68200;DEL2;AAA;100;15;1.5;2
DEL2-2-AAA-NCO376;DEL2;AAA;100;15;1.5;2
DEL2-2-AAA-NIF5;DEL2;AAA;100;15;1.5;2
DEL2-2-AAA-Q110;DEL2;AAA;100;15;1.5;2
DEL2-2-AAA-R570;DEL2;AAA;100;15;1.5;2
DEL2-2-AAA-R573;DEL2;AAA;100;15;1.5;2
DEL2-2-AAA-R579;DEL2;AAA;100;15;1.5;2
DEL2-2-AAA-R83288;DEL2;AAA;100;15;1.5;2
DEL2-2-AAA-R932022;DEL2;AAA;100;15;1.5;2
DEL2-2-AAA-SM8116;DEL2;AAA;100;15;1.5;2
DEL2-2-AAA-SP733108;DEL2;AAA;100;15;1.5;2
