plotcyclecode;plotcode;cycle;inisoilvol;irricode
BCCA-0-0-AAA-R570;BCCA-0-AAA-R570;0;0.7;RAINFED
BCCA-0-0-AAA-SP791011;BCCA-0-AAA-SP791011;0;0.7;RAINFED
BCSU-0-0-IRR-NCO376;BCSU-0-IRR-NCO376;0;0.95;CSU-0
BCSU-0-0-IRR-R570;BCSU-0-IRR-R570;0;0.95;CSU-0
BCSU-0-0-IRR-RB72454;BCSU-0-IRR-RB72454;0;0.95;CSU-0
BCSU-0-0-IRR-SP832847;BCSU-0-IRR-SP832847;0;0.95;CSU-0
BCSU-0-0-PLU-NCO376;BCSU-0-PLU-NCO376;0;0.95;RAINFED
BCSU-0-0-PLU-R570;BCSU-0-PLU-R570;0;0.95;RAINFED
BCSU-0-0-PLU-RB72454;BCSU-0-PLU-RB72454;0;0.95;RAINFED
BCSU-0-0-PLU-SP832847;BCSU-0-PLU-SP832847;0;0.95;RAINFED
BXAA-2-0-AAA-R570;BXAA-0-AAA-R570;2;inisoil;RAINFED
BXAA-3-0-AAA-R570;BXAA-0-AAA-R570;3;0.25;RAINFED
BXAA-3-0-BAA-R570;BXAA-0-BAA-R570;3;0.25;RAINFED
BXAA-3-0-CAA-R570;BXAA-0-CAA-R570;3;0.25;RAINFED
CCYC-1-0-D1A-R570;CCYC-0-D1A-R570;1;0.25;RAINFED
CCYC-1-0-D2A-R570;CCYC-0-D2A-R570;1;0.25;RAINFED
CCYC-2-0-D1A-R570;CCYC-0-D1A-R570;2;0.25;RAINFED
CCYC-2-0-D2A-R570;CCYC-0-D2A-R570;2;0.25;RAINFED
CCYC-2-0-D3A-R570;CCYC-0-D3A-R570;2;0.25;RAINFED
CCYC-2-0-D4A-R570;CCYC-0-D4A-R570;2;0.25;RAINFED
CP02-0-0-AAA-R570;CP02-0-AAA-R570;0;0.25;RAINFED
CP02-1-0-AAA-R570;CP02-0-AAA-R570;1;inisoil;P02-1
CP04-0-0-AAA-R570;CP04-0-AAA-R570;0;0.25;NC
CP04-1-0-AAA-R570;CP04-0-AAA-R570;1;0.25;RAINFED
CP04-3-0-AAA-R570;CP04-0-AAA-R570;3;inisoil;RAINFED
CVA1-0-0-AAA-R570;CVA1-0-AAA-R570;0;0.8;RAINFED
CVA1-0-0-AAA-R575;CVA1-0-AAA-R575;0;0.8;RAINFED
CVA1-0-0-AAA-R577;CVA1-0-AAA-R577;0;0.8;RAINFED
CVA1-0-0-AAA-R579;CVA1-0-AAA-R579;0;0.8;RAINFED
CVA1-1-0-AAA-R570;CVA1-0-AAA-R570;1;0.8;RAINFED
CVA1-1-0-AAA-R575;CVA1-0-AAA-R575;1;0.8;RAINFED
CVA1-1-0-AAA-R577;CVA1-0-AAA-R577;1;0.8;RAINFED
CVA1-1-0-AAA-R579;CVA1-0-AAA-R579;1;0.8;RAINFED
DEL1-0-0-AAA-B37172;DEL1-0-AAA-B37172;0;0.8;RUCILMDA0
DEL1-0-0-AAA-CO312;DEL1-0-AAA-CO312;0;0.8;RUCILMDA0
DEL1-0-0-AAA-CP76331;DEL1-0-AAA-CP76331;0;0.8;RUCILMDA0
DEL1-0-0-AAA-F152;DEL1-0-AAA-F152;0;0.8;RUCILMDA0
DEL1-0-0-AAA-F160;DEL1-0-AAA-F160;0;0.8;RUCILMDA0
DEL1-0-0-AAA-H564848;DEL1-0-AAA-H564848;0;0.8;RUCILMDA0
DEL1-0-0-AAA-LF669657;DEL1-0-AAA-LF669657;0;0.8;RUCILMDA0
DEL1-0-0-AAA-M37664;DEL1-0-AAA-M37664;0;0.8;RUCILMDA0
DEL1-0-0-AAA-MEX68200;DEL1-0-AAA-MEX68200;0;0.8;RUCILMDA0
DEL1-0-0-AAA-NCO376;DEL1-0-AAA-NCO376;0;0.8;RUCILMDA0
DEL1-0-0-AAA-NIF5;DEL1-0-AAA-NIF5;0;0.8;RUCILMDA0
DEL1-0-0-AAA-Q110;DEL1-0-AAA-Q110;0;0.8;RUCILMDA0
DEL1-0-0-AAA-R570;DEL1-0-AAA-R570;0;0.8;RUCILMDA0
DEL1-0-0-AAA-R573;DEL1-0-AAA-R573;0;0.8;RUCILMDA0
DEL1-0-0-AAA-R579;DEL1-0-AAA-R579;0;0.8;RUCILMDA0
DEL1-0-0-AAA-R83288;DEL1-0-AAA-R83288;0;0.8;RUCILMDA0
DEL1-0-0-AAA-R932022;DEL1-0-AAA-R932022;0;0.8;RUCILMDA0
DEL1-0-0-AAA-SM8116;DEL1-0-AAA-SM8116;0;0.8;RUCILMDA0
DEL1-0-0-AAA-SP733108;DEL1-0-AAA-SP733108;0;0.8;RUCILMDA0
DEL1-0-0-AAA-SP801842;DEL1-0-AAA-SP801842;0;0.8;RUCILMDA0
DEL1-0-1-AAA-B37172;DEL1-1-AAA-B37172;0;0.8;RUCILMDA0
DEL1-0-1-AAA-CO312;DEL1-1-AAA-CO312;0;0.8;RUCILMDA0
DEL1-0-1-AAA-CP76331;DEL1-1-AAA-CP76331;0;0.8;RUCILMDA0
DEL1-0-1-AAA-F152;DEL1-1-AAA-F152;0;0.8;RUCILMDA0
DEL1-0-1-AAA-F160;DEL1-1-AAA-F160;0;0.8;RUCILMDA0
DEL1-0-1-AAA-H564848;DEL1-1-AAA-H564848;0;0.8;RUCILMDA0
DEL1-0-1-AAA-LF669657;DEL1-1-AAA-LF669657;0;0.8;RUCILMDA0
DEL1-0-1-AAA-M37664;DEL1-1-AAA-M37664;0;0.8;RUCILMDA0
DEL1-0-1-AAA-MEX68200;DEL1-1-AAA-MEX68200;0;0.8;RUCILMDA0
DEL1-0-1-AAA-NCO376;DEL1-1-AAA-NCO376;0;0.8;RUCILMDA0
DEL1-0-1-AAA-NIF5;DEL1-1-AAA-NIF5;0;0.8;RUCILMDA0
DEL1-0-1-AAA-Q110;DEL1-1-AAA-Q110;0;0.8;RUCILMDA0
DEL1-0-1-AAA-R570;DEL1-1-AAA-R570;0;0.8;RUCILMDA0
DEL1-0-1-AAA-R573;DEL1-1-AAA-R573;0;0.8;RUCILMDA0
DEL1-0-1-AAA-R579;DEL1-1-AAA-R579;0;0.8;RUCILMDA0
DEL1-0-1-AAA-R83288;DEL1-1-AAA-R83288;0;0.8;RUCILMDA0
DEL1-0-1-AAA-R932022;DEL1-1-AAA-R932022;0;0.8;RUCILMDA0
DEL1-0-1-AAA-SM8116;DEL1-1-AAA-SM8116;0;0.8;RUCILMDA0
DEL1-0-1-AAA-SP733108;DEL1-1-AAA-SP733108;0;0.8;RUCILMDA0
