projectcode	projectresume	coordinator	coordcompany
MAEBR-ESALQ	MAE project, adaptation of the MOSICAS model in Brazil. PhD C. Suguitani	JF Martiné	C Suguitani
PRAD	PRAD project, adaptation of MOSICAS in Marocco. PhD M. Aabad	JF Martiné, A Bouaziz	M Aabad
PDS-CAN	Innovative sugar cane growing systems	André Chabanne	NA
BFF	NA	David Pot	NA
AGMIP CAS	AGMIP project on sugarcane	A Singels	JF Martiné
CAS-REU 00	Various studies in Reunion Island	JF Martiné	JF Martiné
REBECCA	Evaluation of the potential of energy cane	JL Chopart	JF Martiné
SYPECAR	Evaluation of the potential of energy cane in contrasted environments	Christophe Poser	JF Martiné
SNCSS Mos	Adaptation of the MOSICAS model in Senegal	D Marion	JF Martiné
CAS-REU 08	Study of the development and growth of phytomers	JF Martiné	JF Martiné
CAS-REU 02	Adaptation of the MOSICAS model in low-altitude environments in Reunion Island (irrigated and rainfed)	JF Martiné	JF Martiné
CAS-REU 03	Adaptation of the MOSICAS varieties in high-altitude environments in Reunion Island	JF Martiné	JF Martiné
CAS-REU 01	Adaptation of the MOSICAS model in high-latitude environments in Reunion Island	JF Martiné	JF Martiné
MSIRI Mos	Adaptation of the MOSICAS model in Mauritius Island	FC Cheeroo-Nayamuth	JF Martiné
CAS-GUA 01	Adaptation of the MOSICAS model in Guadeloupe	P Todoroff	JF Martiné
CAS-REU 05	Studies on the effect of raw spacing	D Pouzet	JF Martiné
CAS-REU 06	Studies on the effect of the geometry of the plantation	D Marion	JF Martiné
CAS-REU 07	Studies on the interaction between N and cultivars	D Pouzet	JF Martiné
QUALITE-CAS	Project on the evolution of cane quality with eRcane. PhD D. Sabatier	JF Martiné	C Roussel
DELICAS	Study of the deficit of binding between cane genotypes. PhD M. Gouy	S Nibouche	JF Martiné
CAS-REU 04	Study of the mineral mobilizations of sugarcane in conditions of high yields	D Pouzet	JF Martiné
ICSM GxE	ICSM project: interaction genotype x cultivar	A Singels	"JF Martiné; C Poser; J Shine"
