rainfalldate	rainfall	wscode
01/01/2003	0	1031
02/01/2003	0	1031
03/01/2003	0	1031
04/01/2003	0	1031
05/01/2003	13.3	1031
06/01/2003	1.1	1031
07/01/2003	13.2	1031
08/01/2003	12.4	1031
09/01/2003	11.5	1031
10/01/2003	0	1031
11/01/2003	3.6	1031
12/01/2003	0	1031
13/01/2003	0	1031
14/01/2003	0	1031
15/01/2003	0	1031
16/01/2003	0	1031
17/01/2003	0	1031
18/01/2003	0.8	1031
19/01/2003	1	1031
20/01/2003	2	1031
21/01/2003	9	1031
22/01/2003	3.1	1031
23/01/2003	0	1031
24/01/2003	0	1031
25/01/2003	0	1031
26/01/2003	0	1031
27/01/2003	0	1031
28/01/2003	0	1031
29/01/2003	0	1031
30/01/2003	0	1031
31/01/2003	0	1031
01/02/2003	0	1031
02/02/2003	0	1031
03/02/2003	0	1031
04/02/2003	0	1031
05/02/2003	0	1031
06/02/2003	0	1031
07/02/2003	7.3	1031
08/02/2003	9.5	1031
09/02/2003	0	1031
10/02/2003	0	1031
11/02/2003	0	1031
12/02/2003	0	1031
13/02/2003	0.1	1031
14/02/2003	0	1031
15/02/2003	0	1031
16/02/2003	0	1031
17/02/2003	0	1031
18/02/2003	1.3	1031
19/02/2003	16.1	1031
20/02/2003	0.7	1031
21/02/2003	1	1031
22/02/2003	0	1031
23/02/2003	0	1031
24/02/2003	0	1031
25/02/2003	8.6	1031
26/02/2003	11.5	1031
27/02/2003	0	1031
28/02/2003	0	1031
01/03/2003	0	1031
02/03/2003	0	1031
03/03/2003	0	1031
04/03/2003	0	1031
05/03/2003	0	1031
06/03/2003	0	1031
07/03/2003	0	1031
08/03/2003	0	1031
09/03/2003	0	1031
10/03/2003	0	1031
11/03/2003	0	1031
12/03/2003	0	1031
13/03/2003	0	1031
14/03/2003	0	1031
15/03/2003	0	1031
16/03/2003	6.5	1031
17/03/2003	6.3	1031
18/03/2003	13.8	1031
19/03/2003	0	1031
20/03/2003	0	1031
