decade	rainfallmeand	wscode
1	3	12
2	2.2	12
3	1.21	12
4	0.7	12
5	1.95	12
6	28.06	12
7	0.3	12
8	0	12
9	0.05	12
10	0	12
11	0.35	12
12	0	12
13	0	12
14	0.91	12
15	2.32	12
16	2.6	12
17	0.92	12
18	2.31	12
19	2.8	12
20	0.94	12
21	0.95	12
22	0.32	12
23	0.49	12
24	1.15	12
25	3.52	12
26	0.79	12
27	0.63	12
28	0.85	12
29	0.1	12
30	0.13	12
31	0.5	12
32	3.82	12
33	0.64	12
34	0.53	12
35	0.6	12
36	0.99	12
1	1.84	1031
2	0.51	1031
3	2.78	1031
4	1.43	1031
5	1.42	1031
6	4.29	1031
7	0.31	1031
8	2.27	1031
9	3.45	1031
10	0.74	1031
11	1.95	1031
12	0.43	1031
13	1.63	1031
14	1.03	1031
15	0.38	1031
16	0	1031
17	0.01	1031
18	0	1031
19	0	1031
20	0	1031
21	0	1031
22	0	1031
23	0.05	1031
24	0	1031
25	0.04	1031
26	0.19	1031
27	0.11	1031
28	1.2	1031
29	1.63	1031
30	3.73	1031
31	1.08	1031
32	2.81	1031
33	3.23	1031
34	5.2	1031
35	0.35	1031
36	1.83	1031
1	3.64	97122
2	1.09	97122
3	3.13	97122
4	1.27	97122
5	3.25	97122
6	0.2	97122
7	0.05	97122
8	1.34	97122
9	0.6	97122
10	1.27	97122
11	0.15	97122
12	6.65	97122
13	0.15	97122
14	0.63	97122
15	0.36	97122
16	1.1	97122
17	5.19	97122
18	0.7	97122
19	7.49	97122
20	0.01	97122
21	5.63	97122
22	2.02	97122
23	7.38	97122
24	5	97122
25	1.98	97122
26	2.7	97122
27	8.1	97122
28	5.77	97122
29	5.47	97122
30	7.8	97122
31	2.83	97122
32	4.18	97122
33	4.78	97122
34	0.6	97122
35	9.33	97122
36	1.83	97122
1	3.99	97401520
2	4.29	97401520
3	6.72	97401520
4	8.74	97401520
5	5.5	97401520
6	7.7	97401520
7	3.11	97401520
8	2.43	97401520
9	1.66	97401520
10	6.97	97401520
11	4.63	97401520
