varcyclecode	plotcyclecode	varcode	cyclestartingdate	cyclendingdate
BCCA-0-0-AAA-R570	BCCA-0-0-AAA-R570	R570	11/09/2002	21/08/2003
BCCA-0-0-AAA-SP791011	BCCA-0-0-AAA-SP791011	SP791011	11/09/2002	21/08/2003
BCSU-0-0-IRR-NCO376	BCSU-0-0-IRR-NCO376	NCO376	29/10/2004	27/09/2005
BCSU-0-0-IRR-R570	BCSU-0-0-IRR-R570	R570	29/10/2004	27/09/2005
BCSU-0-0-IRR-RB72454	BCSU-0-0-IRR-RB72454	RB72454	29/10/2004	27/09/2005
BCSU-0-0-IRR-SP832847	BCSU-0-0-IRR-SP832847	SP832847	29/10/2004	27/09/2005
BCSU-0-0-PLU-NCO376	BCSU-0-0-PLU-NCO376	NCO376	29/10/2004	27/09/2005
BCSU-0-0-PLU-R570	BCSU-0-0-PLU-R570	R570	29/10/2004	27/09/2005
BCSU-0-0-PLU-RB72454	BCSU-0-0-PLU-RB72454	RB72454	29/10/2004	27/09/2005
BCSU-0-0-PLU-SP832847	BCSU-0-0-PLU-SP832847	SP832847	29/10/2004	27/09/2005
BXAA-2-0-AAA-R570	BXAA-2-0-AAA-R570	R570	13/10/1998	15/10/1999
BXAA-3-0-AAA-R570	BXAA-3-0-AAA-R570	R570	05/10/1999	23/06/2000
BXAA-3-0-BAA-R570	BXAA-3-0-BAA-R570	R570	05/10/1999	23/06/2000
BXAA-3-0-CAA-R570	BXAA-3-0-CAA-R570	R570	05/10/1999	23/06/2000
CCYC-1-0-D1A-R570	CCYC-1-0-D1A-R570	R570	28/07/2001	22/07/2003
CCYC-2-0-D1A-R570	CCYC-2-0-D1A-R570	R570	22/07/2003	15/11/2004
CCYC-1-0-D2A-R570	CCYC-1-0-D2A-R570	R570	12/12/2001	22/07/2003
CCYC-2-0-D2A-R570	CCYC-2-0-D2A-R570	R570	08/09/2003	15/11/2004
CCYC-2-0-D3A-R570	CCYC-2-0-D3A-R570	R570	28/10/2003	15/11/2004
CCYC-2-0-D4A-R570	CCYC-2-0-D4A-R570	R570	04/12/2003	15/11/2004
CP02-0-0-AAA-R570	CP02-0-0-AAA-R570	R570	24/12/1992	03/08/1994
CP02-1-0-AAA-R570	CP02-1-0-AAA-R570	R570	03/08/1994	10/05/1996
CP04-0-0-AAA-R570	CP04-0-0-AAA-R570	R570	03/03/1994	06/09/1995
CP04-1-0-AAA-R570	CP04-1-0-AAA-R570	R570	06/09/1995	30/10/1997
CP04-3-0-AAA-R570	CP04-3-0-AAA-R570	R570	05/08/1998	27/06/2000
CVA1-0-0-AAA-R570	CVA1-0-0-AAA-R570	R570	05/03/2003	29/06/2004
CVA1-1-0-AAA-R570	CVA1-1-0-AAA-R570	R570	29/06/2004	07/12/2005
CVA1-0-0-AAA-R575	CVA1-0-0-AAA-R575	R575	05/03/2003	29/06/2004
CVA1-1-0-AAA-R575	CVA1-1-0-AAA-R575	R575	29/06/2004	07/12/2005
CVA1-0-0-AAA-R577	CVA1-0-0-AAA-R577	R577	05/03/2003	29/06/2004
CVA1-1-0-AAA-R577	CVA1-1-0-AAA-R577	R577	29/06/2004	07/12/2005
CVA1-0-0-AAA-R579	CVA1-0-0-AAA-R579	R579	05/03/2003	29/06/2004
CVA1-1-0-AAA-R579	CVA1-1-0-AAA-R579	R579	29/06/2004	07/12/2005
DEL1-0-0-AAA-B37172	DEL1-0-0-AAA-B37172	B37172	24/02/2009	09/06/2010
DEL1-0-0-AAA-CO312	DEL1-0-0-AAA-CO312	CO312	24/02/2009	09/06/2010
DEL1-0-0-AAA-CP76331	DEL1-0-0-AAA-CP76331	CP76331	24/02/2009	09/06/2010
DEL1-0-0-AAA-F152	DEL1-0-0-AAA-F152	F152	24/02/2009	09/06/2010
DEL1-0-0-AAA-F160	DEL1-0-0-AAA-F160	F160	24/02/2009	09/06/2010
DEL1-0-0-AAA-H564848	DEL1-0-0-AAA-H564848	H564848	24/02/2009	09/06/2010
DEL1-0-0-AAA-LF669657	DEL1-0-0-AAA-LF669657	LF669657	24/02/2009	09/06/2010
DEL1-0-0-AAA-M37664	DEL1-0-0-AAA-M37664	M37664	24/02/2009	09/06/2010
DEL1-0-0-AAA-MEX68200	DEL1-0-0-AAA-MEX68200	MEX68200	24/02/2009	09/06/2010
DEL1-0-0-AAA-NCO376	DEL1-0-0-AAA-NCO376	NCO376	24/02/2009	09/06/2010
DEL1-0-0-AAA-NIF5	DEL1-0-0-AAA-NIF5	NIF5	24/02/2009	09/06/2010
DEL1-0-0-AAA-Q110	DEL1-0-0-AAA-Q110	Q110	24/02/2009	09/06/2010
DEL1-0-0-AAA-R570	DEL1-0-0-AAA-R570	R570	24/02/2009	09/06/2010
DEL1-0-0-AAA-R573	DEL1-0-0-AAA-R573	R573	24/02/2009	09/06/2010
DEL1-0-0-AAA-R579	DEL1-0-0-AAA-R579	R579	24/02/2009	09/06/2010
DEL1-0-0-AAA-R83288	DEL1-0-0-AAA-R83288	R83288	24/02/2009	09/06/2010
DEL1-0-0-AAA-R932022	DEL1-0-0-AAA-R932022	R932022	24/02/2009	09/06/2010
DEL1-0-0-AAA-SM8116	DEL1-0-0-AAA-SM8116	SM8116	24/02/2009	09/06/2010
DEL1-0-0-AAA-SP733108	DEL1-0-0-AAA-SP733108	SP733108	24/02/2009	09/06/2010
DEL1-0-0-AAA-SP801842	DEL1-0-0-AAA-SP801842	SP801842	24/02/2009	09/06/2010
DEL1-0-1-AAA-B37172	DEL1-0-1-AAA-B37172	B37172	24/02/2009	09/06/2010
DEL1-0-1-AAA-CO312	DEL1-0-1-AAA-CO312	CO312	24/02/2009	09/06/2010
DEL1-0-1-AAA-CP76331	DEL1-0-1-AAA-CP76331	CP76331	24/02/2009	09/06/2010
DEL1-0-1-AAA-F152	DEL1-0-1-AAA-F152	F152	24/02/2009	09/06/2010
DEL1-0-1-AAA-F160	DEL1-0-1-AAA-F160	F160	24/02/2009	09/06/2010
DEL1-0-1-AAA-H564848	DEL1-0-1-AAA-H564848	H564848	24/02/2009	09/06/2010
