libcode	unit	type	level	englishlib	frenchlib
alext	cmol/kg	soil	NA	extractable aluminum	Aluminium extractible
baer	%	plant	plant	Percentage of bagasse in aboveground biomass	Pourcentage bagasse dans biomasse aérienne
bdens	gr/cm3	soil	NA	bulk density	Densité apparente
brixaer	%	plant	plant	Brix aboveground biomass	Brix biomasse aérienne
brixjaer	%	plant	plant	"aboveground biomass juice brix
aboveground biomass juice brix"	Brix jus biomasse aérienne
brixjt	%	plant	stem	Brix juice corrected stem lab	Brix jus corrigée tige labo
brixm1	%	plant	stem	Brix juice manual average 1 low	Brix jus manuel moyen 1 bas
brixm2	%	plant	stem	Brix juice manual average 2	Brix jus manuel moyen 2
brixm3	%	plant	stem	Brix juice manual average 3	Brix jus manuel moyen 3
brixm4	%	plant	stem	Brix juice manual average 4	Brix jus manuel moyen 4
brixm5	%	plant	stem	Brix juice manual average top 5	Brix jus manuel moyen 5 haut
btig	%	plant	stem	Percentage of bagasse in the stem	Pourcentage de bagasse dans la tige
caech	cmol/kg	soil	NA	Exchangeable calcium	Calcium échangeable
calb	%	plant	limb	Leaf blades calcium	Calcium limbes
cec	cmol/kg	soil	NA	Cation exchange capacity	capacité d'échange cationique
cel.ndfae	NA	plant	plant	NA	fraction de cellulose dans la ndf de biomasse aerienne
cel.ndftu	NA	plant	stem	NA	fraction de cellulose dans la ndf de tige usinable
cendaer	%	plant	plant	Ash aboveground biomass (%FM)	Cendre biomasse aérienne (% MF)
cendtig	%	plant	stem	Ash stem (%FM)	Cendre tige (% MF)
clay	%	soil	NA	Clay	argile
coarse	% (>2mm)	soil	NA	Coarses	particules grossières
diab	cm	plant	stem	Bottom diameter of the stem	diamètre tige bas
diah	cm	plant	stem	Top diameter of the stem	diamètre tige haut
diam	cm	plant	stem	Medium diameter of the stem	diamètre tige median
ei	0-1	plant	plant	Radiation interception efficiency from the whole canopy (0-1)	efficience d'interception ensemble couvert (0-1)
epaiss	cm	soil	NA	"layer thickness
layer thickness"	épaisseur couche
eto	mm/day	weather	field	Daily ET0 Penman-Monteith	Evapotranspiration potentiel journalière (Penman-Monteith
fibraer	%	plant	plant	Fiber aboveground biomass (%FM)	fibre biomasse aérienne (% MF)
fibrt	%	plant	stem	Fiber cane stem lab press (%FM)	fibre tige canne  labo presse (%MF)
fibrtb	%	plant	stem	Fiber cane stem lab berding (%FM)	fibre tige canne  labo berding (%MF)
gateau	gr	plant	stem	Cake of cane stem lab	gateau tige canne labo
grad	MJ/m2/day	weather	field	Global radiation	Rayonnement global
hapex	cm	plant	stem	Height of the apex of the sugar stem sample	Hauteur de l'apex échantillon tiges de canne
hcc	cm3/cm3	soil	NA	Water content at field capacity	Teneur en eau à  la capacité au champ
hcel.ndfae	NA	plant	plant	NA	fraction de hemicellulose dans la ndf de biomasse aerienne
hcel.ndftu	NA	plant	stem	NA	fraction de hemicellulose dans la ndf de tige usinable
het	cm	plant	stem	Standard deviation of the tvd height	écart type hauteur tvd (profil hauteurs)
hpf	cm3/cm3	soil	NA	Water content at the wilting point	Teneur en eau au point de flétrissement
hsat	cm3/cm3	soil	NA	Water content at saturation	Teneur en eau à  saturation
htet	cm	plant	stem	Top Visible Dewlap (tvd) height of the stem (height profile)	hauteur tvd tige cm (profil hauteurs)
htm	cm	plant	stem	tvd average height (height profile)	hauteur tvd moyenne (profil hauteurs)
htn	cm	plant	stem	tvd minimum height (height profile)	hauteur tvd mini (profil hauteurs)
htvde	cm	plant	stem	tvd sample height stem	hauteur tvd échantillon tiges
htvdi	cm	plant	stem	tvd height interpolated	hauteur tvd interpolée
htvds	cm	plant	stem	height tvd tracking labeled stems	hauteur tvd suivi tiges étiquetées
htvdx	cm	plant	stem	Maximum height tvd	hauteur tvd maxi (profil hauteurs)
humaer	%	plant	plant	Humidity in aboveground biomass	humidité biomasse aérienne
humtig	%	plant	stem	Humidity in stalk	humidite tige usinable
husi	cm	plant	stem	Stalk height in the stem sample 	hauteur tige usinable  échantillon tiges
hvsoil	0-1	soil	NA	volumetric water	humidite volumique couche 1 (0-1)
kech	cmol/kg	soil	NA	exchangeable potassium	Potassium échangeable
klb	%	plant	limb	potassium leaf blades	potassium limbes
ksat	cm/h	soil	NA	saturated hydraulic conductivity	Conductivité hydraulique à  saturation
lai	m2/m2	plant	plant	Leaf Area Index	Indice foliaire (limbes verts totaux)
lign.ndfae	NA	plant	plant	NA	fraction de lignine dans la ndf de biomasse aerienne
lign.ndftu	NA	plant	stem	NA	fraction de lignine dans la ndf de tige usinable
ltvdlarge	cm	plant	limb	width leaf blade tvd	largeur limbe tvd
ltvdlargi	cm	plant	limb	width leaf blade tvd interpolated	largeur limbe tvd interpolée
ltvdlargs	cm	plant	limb	width leaf blade tvd tracking labeled stems	largeur limbe tvd suivi tiges étiquetées
ltvdlonge	cm	plant	limb	leaf blade length tvd	longueur limbe tvd
ltvdlongi	cm	plant	limb	leaf blade length tvd interpolated	longueur limbe tvd interpolée
ltvdlongs	cm	plant	limb	leaf blade length tvd tracking labeled stems	longueur limbe tvd suivi tiges étiquetées
ltvdsurfe	cm2	plant	limb	leaf blade area tvd	surface limbe tvd
ltvdsurfi	cm2	plant	limb	leaf blade area tvd interpolated	surface limbe tvd interpole
ltvdsurfs	cm2	plant	limb	leaf blade area tvd tracking labeled stems	surface limbe tvd suivi tiges étiquetées
mfa	T/ha	plant	plant	Aboveground fresh matter	matière fraaîche aérienne
mffm	T/ha	plant	leaf	fresh matter of dead leaves	matière fraaîche feuilles mortes
mflv	T/ha	plant	limb	fresh matter of green leaf blades	matière fraaîche limbes verts
mflvpp	gr	plant	limb	fresh matter of green leaf blades per plant	matière fraaîche des limbes verts par plante
mfre	T/ha	plant	plant	fresh matter remaining (whole plant - stalk)	matière fraaîche reste (plante - tige)
