decade;tmind;tmaxd;tmeand;rhmind;rhmaxd;rhmeand;windmeand;windmaxd;radmeand;etomeand;rainfallmeand;wscode
1;19.1;29.72;NA;NA;NA;NA;NA;NA;18.9;3.38;11.58;201
2;18.65;28.98;NA;NA;NA;NA;NA;NA;18.58;3.22;5.8;201
3;19.38;28.55;NA;NA;NA;NA;NA;NA;15.15;2.48;11.48;201
4;17.86;29.97;NA;NA;NA;NA;NA;NA;21.95;3.91;4.75;201
5;18.13;30.18;NA;NA;NA;NA;NA;NA;20.29;3.57;4.55;201
6;18.19;30.18;NA;NA;NA;NA;NA;NA;18.99;3.28;4.21;201
7;18.08;31.11;NA;NA;NA;NA;NA;NA;20.17;3.58;4.94;201
8;18.87;30.45;NA;NA;NA;NA;NA;NA;17.83;3.14;6.2;201
9;16.62;29.12;NA;NA;NA;NA;NA;NA;18.84;3.12;3.6;201
10;16.87;30.04;NA;NA;NA;NA;NA;NA;17.9;2.99;2.36;201
11;16.17;30.05;NA;NA;NA;NA;NA;NA;17.53;2.84;1.53;201
12;14.59;28.79;NA;NA;NA;NA;NA;NA;15.76;2.36;0.73;201
13;12.18;26.07;NA;NA;NA;NA;NA;NA;14.41;1.9;2.24;201
14;12;27.23;NA;NA;NA;NA;NA;NA;14.46;1.96;1.52;201
15;10.32;24.32;NA;NA;NA;NA;NA;NA;12.3;1.45;4.55;201
16;11.11;26.42;NA;NA;NA;NA;NA;NA;12.85;1.69;1.71;201
17;10.34;26.92;NA;NA;NA;NA;NA;NA;12.92;1.72;0.91;201
18;9.79;26.07;NA;NA;NA;NA;NA;NA;12.55;1.67;0.76;201
19;9.6;25.37;NA;NA;NA;NA;NA;NA;11.82;1.69;1.22;201
20;9.18;23.38;NA;NA;NA;NA;NA;NA;11.57;1.65;1.36;201
21;8.96;25.91;NA;NA;NA;NA;NA;NA;13.95;2.08;0.68;201
22;10.11;26.49;NA;NA;NA;NA;NA;NA;14.2;2.23;2.42;201
23;9.65;27.67;NA;NA;NA;NA;NA;NA;16.8;2.7;0.02;201
24;11.91;28.54;NA;NA;NA;NA;NA;NA;14.87;2.79;0.95;201
25;12.14;28.75;NA;NA;NA;NA;NA;NA;16.69;3.2;0.9;201
26;14.09;28;NA;NA;NA;NA;NA;NA;15.38;3.09;1.4;201
27;14.75;29.04;NA;NA;NA;NA;NA;NA;16.28;3.36;0.3;201
28;15.68;30.12;NA;NA;NA;NA;NA;NA;17.47;3.62;2.82;201
