wsname;x_wgs84;y_wgs84;wslat;wslong;wsalt;wscode;countrycode;wstype
Station Nulle;NA;NA;-21;55;0;0;RE;M
BEBOURG (EDF);352763.32;7666238.142;-21.099016;55.582464;1205;102;RE;M
TROIS BASSINS (CIRAD);353900;7665600;0;0;990;104;RE;M
TERRE ROUGE (BERIVE);345907.67;7641263.782;-21.32403;55.514221;320;105;RE;M
ETANG SALE LES HAUTS;327000;7650000;-21.163408;55.216847;21;106;RE;M
MU Bellevue;NA;NA;-21;-55;69;1001;MU;M
FONTAINE (SGLB);316126.268;7672427.279;-21.039806;55.230513;60;1015;RE;M
SAVANNAH;323116;7678543;-20.985258;55.298382;5;1016;RE;M
GRAND COUDE (CIRAD);358139.994;7645806.142;-21.284;55.63252;0;1017;RE;M
MA Station Meteo Gharb;NA;NA;38.8;9;9;1030;MA;M
SN Richard Toll;NA;NA;15.5;16.72;4;1100;SN;M
GP unknown;NA;NA;16;61;100;97102;GP;M
PITON SAINT LEU (CFPPA);326476;7653410;-21.212571;55.328155;572;97413581;RE;M
LES MAKES;333572.625;7655123.153;-21.197762;55.396675;900;97414409;RE;M
PIERREFONDS (CIRAD);341826;7642763;-21.310136;55.475015;80;97416415;RE;M
MON CAPRICE;343841.46;7642483.599;-21.312835;55.494416;260;97416420;RE;M
BASSIN MARTIN;345051.412;7642894.005;-21.309232;55.506116;285;97416455;RE;M
LE TAMPON PK14;347510;7649288;-21.251688;55.530387;786;97422466;RE;M
GP unknown;NA;NA;16;61;30;97104;GP;M
GP Godet;NA;NA;16;61;200;97105;GP;M
GP unknown;NA;NA;16;61;200;97106;GP;M
GP St Jean;NA;NA;16;61;0;97117;GP;M
GP unknown;NA;NA;16;61;50;97198;GP;M
GP unknown;NA;NA;16;61;0;97199;GP;M
LES AVIRONS (CIRAD);326370;7650240;-21.241191;55.326811;170;97401541;RE;M
BELLEVUE BRAS PANON;356651.851;7676413.853;-21.007408;55.62074;510;97402240;RE;M
PONT MATHURIN;331329.376;7646275.388;-21.277466;55.374194;22;97404540;RE;M
PETITE ILE (CIRAD);350421;7636728;-21.365378;55.557328;168;97405480;RE;M
PLAINE DES PALMISTES;357472.937;7662406.037;-21.134004;55.627478;1025;97406220;RE;M
LE PORT;321406.483;7682894.189;-20.945795;55.282391;11;97407520;RE;M
LA NOUVELLE;335124.392;7669875.434;-21.06466;55.413039;1400;97408580;RE;M
LE COLOSSE;361783.057;7684207.778;-20.937397;55.670724;15;97409230;RE;M
BEAUFONDS MIRIA;367094.487;7670791.445;-21.058982;55.720763;40;97410238;RE;M
CHEMIN CEINTURE;362745.408;7670168.084;-21.064293;55.678861;230;97410265;RE;M
SAINT DENIS COLLEGE;339717.201;7689905.089;-20.884152;55.459089;36;97411111;RE;M
COLORADO RADAR;334726.377;7688504.454;-20.896363;55.410989;780;97411146;RE;M
LE BRULE VAL FLEURI;336554.558;7684681.24;-20.931058;55.428201;1065;97411164;RE;M
GRAND COUDE;357814.312;7643954.436;-21.300701;55.629226;1080;97412336;RE;M
RE Baraux X JFM;NA;NA;-20.947222;55.5625;500;974002;RE;M
BR meteo CTC;NA;NA;-22.7;-47.55;566;201;BR;M
MA Station Pluvio CTS;NA;NA;38.8;9;9;1031;MA;R
RE Tirano;NA;NA;-21.3175;55.504722;250;974001;RE;M
RE VueBelle T-Dsab;NA;NA;-21;55;750;101;RE;M
RE VueBelleCir Delicas;NA;NA;-21.078333;55.285278;650;974003;RE;M
GP unknown;NA;NA;16;61;0;97122;GP;R
VOLCAN;363607.539;7653226.963;-21.217388;55.685809;2250;12;RE;R
LE TEVELAVE;330034.864;7653834.888;-21.20907;55.362475;908;97401520;RE;R
LES AVIRONS;326959.985;7650103.882;-21.242477;55.332481;250;97401540;RE;R
BRAS DES LIANES;356505.297;7674198.479;-21.027408;55.619146;740;97402250;RE;R
BRAS LONG;341143.876;7650804.744;-21.237443;55.469192;430;97403440;RE;R
RAVINE CITRONS;342355.187;7650086.044;-21.244039;55.480795;510;97403460;RE;R
ETANG SALE LES BAINS;327685.254;7647343.682;-21.267475;55.339188;5;97404520;RE;R
PITON BLOC PETITE ILE;351938;7641604;-21.32146;55.572382;810;97405420;RE;R
LA POSSESSION (DDE);327971.363;7685732.949;-20.92078;55.345789;9;97408510;RE;R
DOS D'ANE;330982.646;7679309.855;-20.979071;55.37411;930;97408540;RE;R
BOIS ROUGE;358120.224;7686766.431;-20.914006;55.635714;5;97409210;RE;R
L'ETANG CAMBUSTON;360210.183;7685677.626;-20.924001;55.655718;10;97409220;RE;R
SAINT ANDRE (LEGT);360245.367;7681615.208;-20.9607;55.655729;85;97409235;RE;R
MENCIOL;357125.768;7681587.886;-20.960708;55.625726;181;97409240;RE;R
BEAUVALLON;364282.017;7676480.018;-21.00739;55.694146;16;97410202;RE;R
BEAUFONDS SAINT BENOIT;366919.119;7671885.915;-21.049083;55.71916;20;97410234;RE;R
TAKAMAKA PK12;357933.331;7669052.376;-21.074004;55.63246;660;97410250;RE;R
TAKAMAKA USINE;356574.488;7666449.803;-21.097407;55.619166;562;97410262;RE;R
CAMBOURG;367839.597;7664886.251;-21.112379;55.727479;245;97410274;RE;R
CAMBOURG LES HAUTS;365067.538;7664685.969;-21.113986;55.700778;450;97410280;RE;R
SAINT DENIS VILLE;338842.642;7691003.544;-20.874154;55.450785;5;97411102;RE;R
POINTE DU GOUFFRE (DDE);333031.904;7690369.264;-20.879368;55.394882;8;97411105;RE;R
LA MONTAGNE VILLAGE;335906.119;7689136.387;-20.890761;55.422388;460;97411120;RE;R
LA PROVIDENCE;333591.551;7688559.303;-20.895766;55.400087;60;97411126;RE;R
LE CHAUDRON;343196.134;7688466.608;-20.897443;55.492396;38;97411132;RE;R
LA GRANDE CHALOUPE (DDE);329731.966;7688486.152;-20.896076;55.362984;7;97411141;RE;R
SAINT FRANCOIS;339412.237;7686027.228;-20.919152;55.4558;545;97411150;RE;R
GRAND GALET;359195.758;7643778.553;-21.302398;55.642527;420;97412340;RE;R
LA CRETE;361803;7639855;-21.338039;55.667338;649;97412356;RE;R
LES LIANES;355086.271;7639313.216;-21.342407;55.602535;570;97412360;RE;R
LES LIANES (CIRAD);355994;7638361;-21.351081;55.611205;420;97412361;RE;R
VINCENDO (CIRAD);363135;7637623;-21.358302;55.679999;140;97412368;RE;R
SAINT JOSEPH GENDARMERIE;356334.915;7635449.796;-21.377403;55.614245;30;97412376;RE;R
PLAINE DES MAKES;334881.582;7654062.75;-21.207458;55.409179;900;97414408;RE;R
BELLEVUE LES HAUTS;334037;7650919;-21.235775;55.400738;545;97414416;RE;R
LE TAMPON PK13;324647.416;7659379.358;-21.158484;55.311155;737;97422465;RE;R
BERIVE (CIRAD);349193;7643168;-21.307107;55.54606;697;97422480;RE;R
TROIS BASSINS;353808.935;7665505.972;-21.105714;55.592466;725;97423520;RE;R
CILAOS;341555.19;7661702.994;-21.139043;55.474165;1197;97424410;RE;R
PALMISTE ROUGE;341587.955;7658381.94;-21.169042;55.474173;850;97424460;RE;R
SAINT-JOSEPH (LEGTA);355561;7634893;-21.382371;55.606734;19;97412384;RE;M
GILLOT;345448.431;7689041.743;-20.892437;55.514096;22;97418110;RE;M
GOL LES HAUTS;336898;7649836;-21.245816;55.428196;365;97414431;RE;M
TAPAGE;338321;7652433;-21.222487;55.442152;860;97414451;RE;M
SAINT PAUL (LEGTA);326428;7681164;-20.961901;55.330496;186;97415511;RE;M
PLATEAU CAILLOU (CIRAD);320039;7673892;-21.026966;55.268306;242;97415520;RE;M
PETITE FRANCE (CIRAD);327100;7672300;0;0;1315;97415526;RE;M
PETITE FRANCE;327064.69;7672248.999;-21.04248;55.335725;1200;97415536;RE;M
L'ERMITAGE (CIRAD);317232;7670979;-21.052997;55.240996;120;97415550;RE;M
PITON MAIDO (ONF);331569.407;7669927.276;-21.063868;55.378837;2200;97415566;RE;M
POINTE 3 BASSINS;318717.384;7664794.439;-21.108999;55.254635;16;97415590;RE;M
RAVINE DES CABRIS;341827;7646710;-21.274487;55.475392;375;97416410;RE;M
COLIMACONS (CIRAD);323948;7662486;-21.130359;55.304741;790;97413520;RE;M
MASCARIN;323018.194;7662063.119;-21.134088;55.295747;550;97413524;RE;M
SAINT LEU (CIRAD);323548;7656178;-21.187291;55.30024;221;97413545;RE;M
STELLA CAP;324286.08;7657271.695;-21.177484;55.30746;370;97413548;RE;M
ETANG SAINT LEU (CIRAD);324442;7657748;-21.173198;55.30901;420;97413550;RE;M
STELLA COUR;322935.394;7654488.786;-21.202487;55.294165;136;97413560;RE;M
CAP CAMELIAS;326405;7659001;-21.162069;55.328039;830;97413562;RE;M
STELLA PORTAIL;323606.465;7655791.635;-21.190786;55.300763;300;97413576;RE;M
PIERREFONDS( AEROPORT);336700;7641620;-21.320004;55.425498;24;97416463;RE;M
LIGNE PARADIS;342889;7641771;-21.319189;55.485169;150;97416465;RE;M
ISAUTIER FOYER;344139.66;7637471.193;-21.358133;55.496829;126;97416466;RE;M
ISAUTIER RINGUIN;346311;7641306;-21.323683;55.518113;370;97416467;RE;M
GRAND BOIS (AVRIL);346224;7639303;-21.341767;55.517092;240;97416477;RE;M
TERRE SAINTE SAINT PIERRE;342815.629;7639196.347;-21.342437;55.484223;52;97416480;RE;M
LE BARIL;368583.637;7637770.567;-21.357374;55.73255;130;97417360;RE;M
LA MARE;347328;7687837;-20.903476;55.532057;205;97418123;RE;M
