date	rr	etp	tx	tn	rg	ux	un	vt	tm
31-12-2001	0	5.313275405	30.5	20.1	27.4	-999	-999	-999	-999
01-01-2002	20.6	1.82396973	29.3	18.2	11.98	-999	-999	-999	-999
02-01-2002	0.2	4.314647928	30.1	18.2	23.49	-999	-999	-999	-999
03-01-2002	0	4.929115316	32.6	19.1	26.43	-999	-999	-999	-999
04-01-2002	0	4.941887526	31.9	18.5	24.97	-999	-999	-999	-999
05-01-2002	0	4.141533724	33	19.4	22.43	-999	-999	-999	-999
06-01-2002	10.2	4.831488716	33.6	20.4	23.56	-999	-999	-999	-999
07-01-2002	4	0.797533384	26.7	19.8	9.7	-999	-999	-999	-999
08-01-2002	45.4	3.046334189	30.9	18.1	17.6	-999	-999	-999	-999
09-01-2002	43.8	1.784030113	27.9	17.3	11.95	-999	-999	-999	-999
10-01-2002	0.2	2.953844474	29	19.1	17.51	-999	-999	-999	-999
11-01-2002	3.4	1.03350295	25.9	19.3	9.21	-999	-999	-999	-999
12-01-2002	74.2	2.019260333	28.4	18.7	12.08	-999	-999	-999	-999
13-01-2002	9.8	0.621245633	25.5	19.5	7.15	-999	-999	-999	-999
14-01-2002	2.8	2.499713903	28.2	19.8	15	-999	-999	-999	-999
15-01-2002	5.8	2.270065313	27.1	18.3	13.26	-999	-999	-999	-999
16-01-2002	0	2.24365665	24.5	12	15.01	-999	-999	-999	-999
17-01-2002	0	4.906004777	27.6	15.8	27.85	-999	-999	-999	-999
18-01-2002	0	4.15760399	27.4	16.4	21.87	-999	-999	-999	-999
19-01-2002	14	1.844786085	25.9	18.8	12.91	-999	-999	-999	-999
20-01-2002	0.8	2.278973468	29	19.5	13.78	-999	-999	-999	-999
21-01-2002	0.2	4.250721905	32.7	18.8	22.48	-999	-999	-999	-999
22-01-2002	1	3.697001957	33.1	19.4	19.19	-999	-999	-999	-999
23-01-2002	0	3.792980419	30.1	19.3	20.59	-999	-999	-999	-999
24-01-2002	21.2	3.947749717	32	19.5	20.95	-999	-999	-999	-999
25-01-2002	25	2.118412562	31.6	19.1	13.78	-999	-999	-999	-999
26-01-2002	0.2	5.087710309	33	20.1	24.8	-999	-999	-999	-999
27-01-2002	0.2	3.504231279	33	19.2	19.45	-999	-999	-999	-999
28-01-2002	60.8	4.024699958	31.4	20.3	21.19	-999	-999	-999	-999
29-01-2002	27	3.998573567	31.9	20.7	20.87	-999	-999	-999	-999
30-01-2002	1.6	3.425585113	32.1	21	17.97	-999	-999	-999	-999
31-01-2002	0	4.781916898	33.1	21.7	23	-999	-999	-999	-999
01-02-2002	40.2	1.523966255	29.3	20.6	9.21	-999	-999	-999	-999
02-02-2002	0.2	3.995529157	29.5	16	21.53	-999	-999	-999	-999
03-02-2002	0	4.108908175	27.6	13.6	24.85	-999	-999	-999	-999
04-02-2002	0	4.676110973	29.6	13.8	27.51	-999	-999	-999	-999
05-02-2002	0	5.016053563	30.5	15.2	28.33	-999	-999	-999	-999
06-02-2002	30.6	4.571833109	31.7	17	22.61	-999	-999	-999	-999
07-02-2002	14.2	1.608695915	27	19.6	10.81	-999	-999	-999	-999
08-02-2002	12.4	1.951779262	28.1	20.3	11.63	-999	-999	-999	-999
09-02-2002	19.8	0.491755529	24.4	17.5	7.62	-999	-999	-999	-999
10-02-2002	0.2	2.825662728	28	18.3	17.47	-999	-999	-999	-999
11-02-2002	0	4.921615389	32	18.5	25.28	-999	-999	-999	-999
12-02-2002	7.8	3.588270457	32.8	17.8	20	-999	-999	-999	-999
13-02-2002	0.6	3.673482328	32.4	19.1	19.48	-999	-999	-999	-999
14-02-2002	17.6	0.57520798	23.6	16.3	9.49	-999	-999	-999	-999
15-02-2002	0.2	3.693960511	30.9	17.4	21.16	-999	-999	-999	-999
