irricode	irritype	efficiency	irridose	dateirri
CSU-0	1	1	30	15-02-2005
CSU-0	1	1	40	21-02-2005
CSU-0	1	1	40	03-03-2005
CSU-0	1	1	30	10-03-2005
CSU-0	1	1	30	31-03-2005
CSU-0	1	1	20	07-04-2005
CSU-0	1	1	40	13-04-2005
CSU-0	1	1	20	14-04-2005
CSU-0	1	1	20	18-04-2005
CSU-0	1	1	20	19-04-2005
CSU-0	1	1	10	20-04-2005
CSU-0	1	1	7	27-04-2005
CSU-0	1	1	7	28-04-2005
CSU-0	1	1	7	29-04-2005
CSU-0	1	1	10	03-05-2005
CSU-0	1	1	20	04-05-2005
CSU-0	1	1	20	05-05-2005
CSU-0	1	1	10	06-05-2005
CSU-0	1	1	10	09-05-2005
CSU-0	1	1	10	10-05-2005
CSU-0	1	1	10	11-05-2005
CSU-0	1	1	10	12-05-2005
CSU-0	1	1	10	13-05-2005
CSU-0	1	1	12	17-05-2005
CSU-0	1	1	12	20-05-2005
CSU-0	1	1	20	02-06-2005
CSU-0	1	1	20	03-06-2005
CSU-0	1	1	20	06-06-2005
CSU-0	1	1	20	08-06-2005
CSU-0	1	1	20	10-06-2005
CSU-0	1	1	20	14-06-2005
CSU-0	1	1	20	17-06-2005
CSU-0	1	1	15	24-06-2005
CSU-0	1	1	15	05-07-2005
CSU-0	1	1	15	08-07-2005
CSU-0	1	1	15	12-07-2005
CSU-0	1	1	15	15-07-2005
CSU-0	1	1	15	19-07-2005
CSU-0	1	1	15	22-07-2005
CSU-0	1	1	15	29-07-2005
CSU-0	1	1	15	02-08-2005
CSU-0	1	1	15	05-08-2005
CSU-0	1	1	15	09-08-2005
CSU-0	1	1	15	12-08-2005
CSU-0	1	1	15	16-08-2005
CSU-0	1	1	15	19-08-2005
CSU-0	1	1	15	23-08-2005
CSU-0	1	1	15	29-08-2005
CSU-0	1	1	15	31-08-2005
CSU-0	1	1	15	02-09-2005
CSU-0	1	1	15	07-09-2005
CSU-0	1	1	15	09-09-2005
CSU-0	1	1	15	14-09-2005
