obptrt,obpdd,obpmm,obpyr,obnbtigv,obnbtigm,obnbtigfl,obhtvd,obnbt,obnbv,obltvdsurf,oblai,obei,obsucre,obrdcan,obmstigusi,obhumtig,obsucretig,obfibretig,obbrixjtig,puretejtig,obmslv,obmslt,obmfa,obmsa,obhumcan,obmsen,obsutil
BCSU-0-0-IRR-R570        ,10,12,2004,    2.183, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000,    0.019, -999.000,    0.000,    0.000,    0.000, -999.000, -999.000, -999.000, -999.000, -999.000,    0.031, -999.000, -999.000,    0.041, -999.000, -999.000,1
BCSU-0-0-IRR-R570        , 5, 1,2005,    5.040, -999.000, -999.000, -999.000,    6.875,    6.167, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000,1
BCSU-0-0-IRR-R570        ,24, 1,2005,    5.437, -999.000, -999.000, -999.000,   10.041,    5.833, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000,1
BCSU-0-0-IRR-R570        ,15, 2,2005,    6.468, -999.000, -999.000, -999.000,   12.459,    5.417, -999.000, -999.000, -999.000, -999.000, -999.000,    0.738, -999.000, -999.000, -999.000, -999.000, -999.000,    1.142, -999.000, -999.000,    4.266, -999.000, -999.000,1
BCSU-0-0-IRR-R570        , 7, 3,2005,    7.579, -999.000, -999.000, -999.000,   15.500,    7.125, -999.000,    1.817, -999.000, -999.000,   16.190,    5.689,   64.917, -999.000, -999.000, -999.000, -999.000,    1.828, -999.000, -999.000,    8.870, -999.000, -999.000,1
BCSU-0-0-IRR-R570        ,11, 4,2005,    7.738, -999.000, -999.000, -999.000,   20.208,    7.875, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000,1
BCSU-0-0-IRR-R570        ,31, 5,2005,    6.270, -999.000, -999.000, -999.000,   24.333,    5.583, -999.000,    5.168, -999.000, -999.000, -999.000,   24.167, -999.000, -999.000, -999.000, -999.000, -999.000,    5.310, -999.000, -999.000,   38.997, -999.000, -999.000,1
BCSU-0-0-IRR-R570        ,27, 7,2005,    6.230, -999.000, -999.000, -999.000,   27.541,    5.833, -999.000, -999.000, -999.000, -999.000, -999.000,   29.286, -999.000, -999.000, -999.000, -999.000, -999.000,    6.141, -999.000, -999.000,   50.363, -999.000, -999.000,1
BCSU-0-0-IRR-R570        ,27, 9,2005,    6.349, -999.000, -999.000, -999.000,   32.000,    6.917, -999.000,    4.617, -999.000, -999.000,  110.833,   30.505,   72.480, -999.000, -999.000, -999.000, -999.000,    6.828, -999.000, -999.000,   56.895, -999.000, -999.000,1
BCSU-0-0-IRR-R570        ,27, 9,2005,    6.349, -999.000, -999.000, -999.000,   32.000,    6.917, -999.000,    4.617, -999.000, -999.000,  110.833,   30.505,   72.480, -999.000, -999.000, -999.000, -999.000,    6.828, -999.000, -999.000,   56.895, -999.000, -999.000,1
