date	rr	etp	tx	tn	rg	ux	un	vt	tm
08-11-1990	13.4	2.4	27.3	19.3	6.84	-999	-999	-999	21.7
09-11-1990	0.2	2.2	23	19	8.76	-999	-999	-999	20.8
10-11-1990	0	4.5	26	19.8	25.22	-999	-999	-999	22.9
11-11-1990	0	5.1	26.4	20.3	28.29	-999	-999	-999	22.8
12-11-1990	0	4.1	26.1	16.2	17.93	-999	-999	-999	21.5
13-11-1990	0	5.2	27.9	16.8	25.22	-999	-999	-999	22.7
14-11-1990	0	5.5	30.3	18.8	27.19	-999	-999	-999	25.2
15-11-1990	0	3.7	29.3	22.5	16.86	-999	-999	-999	24.8
16-11-1990	0	3.5	28	20.7	14.76	-999	-999	-999	24.8
17-11-1990	0	5.2	29.7	20.3	25.07	-999	-999	-999	25.2
18-11-1990	0	5.3	29.6	21.3	26.49	-999	-999	-999	25.4
19-11-1990	0	4.5	28.8	19.9	20.85	-999	-999	-999	24.8
20-11-1990	0	5.7	29.2	19.5	29.08	-999	-999	-999	24.8
21-11-1990	0	5.1	28.4	21.5	26.52	-999	-999	-999	25.2
22-11-1990	1	5.2	29.6	20.7	25	-999	-999	-999	25.5
23-11-1990	0	5.1	28.5	21.1	25.43	-999	-999	-999	25
24-11-1990	0	5.2	29.3	20.4	24.93	-999	-999	-999	25.1
25-11-1990	0	4.9	29.9	20.6	22.13	-999	-999	-999	25.4
26-11-1990	0	5.9	30.5	19.7	29.23	-999	-999	-999	25.3
27-11-1990	0	6.2	29.8	19.2	30.61	-999	-999	-999	25.2
28-11-1990	0	5.6	29.9	21.3	28.2	-999	-999	-999	25.8
29-11-1990	0	4.8	29.7	19.7	22.34	-999	-999	-999	25
30-11-1990	0	5.8	30.6	19.7	27.8	-999	-999	-999	25.7
01-12-1990	0	5.6	30.3	19.7	27.64	-999	-999	-999	25.6
02-12-1990	0	6.3	30.3	19.8	31.39	-999	-999	-999	26
03-12-1990	0	6.3	29.6	20	31.02	-999	-999	-999	25
04-12-1990	0	5	29	19.6	24.52	-999	-999	-999	25.1
05-12-1990	2.2	3.6	28.6	19.9	16.8	-999	-999	-999	24.3
06-12-1990	0.2	6.4	30.7	19.7	30.82	-999	-999	-999	25.8
07-12-1990	3.6	4.4	30.4	21.5	18.38	-999	-999	-999	25.3
08-12-1990	0	4.9	29.8	23	24.34	-999	-999	-999	25.9
09-12-1990	15.8	2.7	29	22.3	10.81	-999	-999	-999	24.7
10-12-1990	9.8	3.4	30.1	20.8	13.26	-999	-999	-999	24.2
11-12-1990	2	4.5	30	21.2	20.18	-999	-999	-999	25.3
12-12-1990	0	5.4	29.2	22	27.1	-999	-999	-999	25.5
13-12-1990	0	5.8	30.8	21	28.61	-999	-999	-999	26.3
14-12-1990	0	6.2	29.7	21.4	31.35	-999	-999	-999	26.1
15-12-1990	0	5.6	28.7	21.6	28.14	-999	-999	-999	25.4
16-12-1990	0	3.9	29.3	21.6	16.64	-999	-999	-999	25.7
17-12-1990	0	3.9	30.1	21.5	18.17	-999	-999	-999	25.9
18-12-1990	0	5.5	31.4	22.4	25.86	-999	-999	-999	27
19-12-1990	0	6	31.4	22.4	29.07	-999	-999	-999	26.9
20-12-1990	0	6.4	31.6	21.3	31.45	-999	-999	-999	27.2
21-12-1990	0	6.1	30.7	22	29.62	-999	-999	-999	27.1
22-12-1990	0	6	29.7	23.1	30.39	-999	-999	-999	26.6
23-12-1990	0	6.4	32.1	21.9	30.37	-999	-999	-999	27.3
24-12-1990	0	6.6	31.4	21.4	30.47	-999	-999	-999	26.7
25-12-1990	0	4.8	31.2	21.4	21.33	-999	-999	-999	26.2
26-12-1990	0	6.3	31	21.2	31.18	-999	-999	-999	27.3
27-12-1990	0	6.1	30.4	21.7	30.1	-999	-999	-999	27
28-12-1990	0.2	6	30.5	22.2	28.91	-999	-999	-999	27
29-12-1990	14.8	4.7	31.6	23.9	21.14	-999	-999	-999	27.5
30-12-1990	0	4.5	31.3	23	19.31	-999	-999	-999	26.5
31-12-1990	0	5.9	30.3	21.7	29.66	-999	-999	-999	26.9
01-01-1991	0	5.9	32.6	22.7	28.16	-999	-999	-999	27.9
02-01-1991	1.6	5	32.7	23.8	22.02	-999	-999	-999	27.8
03-01-1991	0	3.8	31.4	24.6	16.05	-999	-999	-999	27.5
04-01-1991	0	5.2	32	22.9	23.61	-999	-999	-999	27.4
05-01-1991	0	4.6	31.1	23.8	20.85	-999	-999	-999	27.8
06-01-1991	0	6	33	22.9	27.9	-999	-999	-999	27.8
07-01-1991	0.8	5	31.9	22.5	20.71	-999	-999	-999	27.1
08-01-1991	0	5.3	32.1	22.5	24.31	-999	-999	-999	27.6
09-01-1991	0	6.2	31.3	23	29.79	-999	-999	-999	27
10-01-1991	4.6	4.8	29.9	22.3	22.66	-999	-999	-999	26.8
11-01-1991	0	6.6	32.9	22.3	31.3	-999	-999	-999	28.1
12-01-1991	0	5.8	32.3	24.7	26.88	-999	-999	-999	28.2
13-01-1991	0	5.5	32.6	24.4	24.18	-999	-999	-999	28.1
14-01-1991	0	6.3	30.7	22.7	30.68	-999	-999	-999	27.1
15-01-1991	0	6.2	30.5	22.2	30.83	-999	-999	-999	27.2
16-01-1991	0	6.1	30.6	22.9	30.51	-999	-999	-999	27.3
17-01-1991	1.8	4	30.7	22	16.22	-999	-999	-999	26.3
18-01-1991	0	6.4	31.9	22.3	29.6	-999	-999	-999	26.8
19-01-1991	0	6.1	31.6	21	28.6	-999	-999	-999	26.9
20-01-1991	0	5.5	30.8	21	26.25	-999	-999	-999	26.4
21-01-1991	41	3.2	30.1	22.2	12.09	-999	-999	-999	25.5
22-01-1991	1.6	5.2	31.6	22.5	25.22	-999	-999	-999	27
23-01-1991	0	4.9	31	23.5	23.15	-999	-999	-999	27.3
24-01-1991	0	5.2	31.5	21.9	23.51	-999	-999	-999	27
25-01-1991	0	4.9	31.2	22.3	22.42	-999	-999	-999	27.1
26-01-1991	0	6.4	31.7	22	30.45	-999	-999	-999	27.3
27-01-1991	0	6.2	31.1	23.3	30.41	-999	-999	-999	26.9
28-01-1991	0	5.9	30	20.8	27.82	-999	-999	-999	27
29-01-1991	10.6	4.2	29.4	22.7	17.61	-999	-999	-999	25.8
30-01-1991	5.4	5	30	23.4	23.37	-999	-999	-999	26
31-01-1991	2	5.2	29.7	22.2	24.41	-999	-999	-999	26.6
01-02-1991	0	6	29.7	22.2	30.1	-999	-999	-999	27.2
02-02-1991	0	5.8	30.1	22.8	28.83	-999	-999	-999	26.6
03-02-1991	0	5.3	30.1	22.8	25.99	-999	-999	-999	26.9
04-02-1991	0	4.682467001	30.2	26.1	21.49562122	-999	-999	-999	28.15
05-02-1991	0	3.9	30.2	22.9	17.22	-999	-999	-999	26.8
06-02-1991	0	4.5	30.8	23.8	21.09	-999	-999	-999	27.7
07-02-1991	0	4.8	30.7	21.7	19.97	-999	-999	-999	26.4
08-02-1991	0	6.2	30.6	21.3	30.69	-999	-999	-999	26.5
09-02-1991	0	5.2	31.1	22.5	25.12	-999	-999	-999	27.1
10-02-1991	0	6.2	32.3	22.5	29.29	-999	-999	-999	27.4
11-02-1991	0	4.6	31	23.6	20.52	-999	-999	-999	27.6
12-02-1991	0	5.7	32.9	23.5	26.97	-999	-999	-999	28.3
13-02-1991	0	4.2	32.2	24.2	16.54	-999	-999	-999	27.9
14-02-1991	0.4	2.8	30.9	25.4	11.22	-999	-999	-999	27.9
15-02-1991	10.4	3.2	30.6	24.8	12.44	-999	-999	-999	26.6
16-02-1991	0.6	3.7	29.5	22.7	16.36	-999	-999	-999	26.5
17-02-1991	4.6	1.6	30.4	25.6	5.56	-999	-999	-999	26.5
18-02-1991	0	4.8	33.4	24.8	22.43	-999	-999	-999	28.7
19-02-1991	0	3.5	31.6	25.5	14.23	-999	-999	-999	28.4
20-02-1991	0	4	31.6	24.9	17.43	-999	-999	-999	28.4
21-02-1991	0.4	3.9	30.8	23.5	15.18	-999	-999	-999	27.2
22-02-1991	0	5.4	32	22.6	24.58	-999	-999	-999	27.8
23-02-1991	0	5.6	32.5	23	25.36	-999	-999	-999	27.7
24-02-1991	0	5.3	31.5	21.7	21.92	-999	-999	-999	27.2
25-02-1991	0	5.5	31.6	21.7	23.72	-999	-999	-999	27.2
26-02-1991	0	5.6	33.1	22	24.49	-999	-999	-999	27.5
27-02-1991	0	4.2	32.7	23.6	17.81	-999	-999	-999	27.4
28-02-1991	0	5.1	33.2	25.6	23.05	-999	-999	-999	29.3
01-03-1991	0	5.9	32.5	23.7	26.77	-999	-999	-999	27.9
