treatcode	obsdate	swc1	swc2	swc3	swc4	swc5	swc6
BXAA-2-0-AAA-R570	1998-12-16	0.505	0.505	0.514	0.498	0.507	-999
BXAA-2-0-AAA-R570	1998-12-22	0.53	0.53	0.511	0.441	0.442	-999
BXAA-2-0-AAA-R570	1999-02-01	0.459	0.459	0.495	0.481	0.485	-999
BXAA-2-0-AAA-R570	1999-02-15	0.544	0.544	0.551	0.501	0.472	-999
BXAA-2-0-AAA-R570	1999-02-23	0.4	0.4	0.483	0.55	0.447	-999
BXAA-2-0-AAA-R570	1999-03-15	0.561	0.561	0.562	0.496	0.43	-999
BXAA-2-0-AAA-R570	1999-04-01	0.464	0.464	0.467	0.415	0.396	-999
BXAA-2-0-AAA-R570	1999-04-07	0.441	0.441	0.458	0.406	0.403	-999
BXAA-2-0-AAA-R570	1999-04-12	0.424	0.424	0.442	0.4	0.37	-999
BXAA-2-0-AAA-R570	1999-05-10	0.459	0.459	0.479	0.481	0.473	-999
BXAA-2-0-AAA-R570	1999-05-17	0.428	0.428	0.443	0.426	0.438	-999
BXAA-2-0-AAA-R570	1999-06-07	0.422	0.422	0.431	0.399	0.391	-999
BXAA-2-0-AAA-R570	1999-06-14	0.411	0.411	0.407	0.359	0.36	-999
BXAA-2-0-AAA-R570	1999-06-21	0.411	0.411	0.433	0.395	0.367	-999
BXAA-2-0-AAA-R570	1999-06-28	0.452	0.452	0.483	0.453	0.471	-999
BXAA-2-0-AAA-R570	1999-07-19	0.489	0.489	0.5	0.471	0.439	-999
BXAA-2-0-AAA-R570	1999-07-27	0.517	0.517	0.541	0.514	0.469	-999
BXAA-2-0-AAA-R570	1999-08-02	0.485	0.485	0.498	0.488	0.441	-999
BXAA-2-0-AAA-R570	1999-09-07	0.484	0.484	0.514	0.474	0.479	-999
BXAA-2-0-AAA-R570	1999-10-04	0.49	0.49	0.512	0.493	0.442	-999
CP04-3-0-AAA-R570	1998-12-21	0.406	0.406	0.359	0.519	0.571	0.561
CP04-3-0-AAA-R570	1999-02-26	0.44	0.44	0.396	0.526	0.624	0.631
CP04-3-0-AAA-R570	1999-03-03	0.409	0.409	0.359	0.515	0.586	0.602
CP04-3-0-AAA-R570	1999-03-12	0.438	0.438	0.371	0.553	0.61	0.586
CP04-3-0-AAA-R570	1999-03-24	0.407	0.407	0.369	0.51	0.58	0.606
CP04-3-0-AAA-R570	1999-04-02	0.378	0.378	0.311	0.492	0.579	0.598
CP04-3-0-AAA-R570	1999-04-15	0.462	0.462	0.376	0.45	0.573	0.595
CP04-3-0-AAA-R570	1999-04-19	0.403	0.403	0.388	0.531	0.562	0.542
CP04-3-0-AAA-R570	1999-05-11	0.376	0.376	0.343	0.487	0.568	0.559
CP04-3-0-AAA-R570	1999-05-17	0.365	0.365	0.324	0.491	0.568	0.56
CP04-3-0-AAA-R570	1999-05-25	0.352	0.352	0.325	0.481	0.551	0.574
CP04-3-0-AAA-R570	1999-05-31	0.322	0.322	0.287	0.426	0.519	0.552
CP04-3-0-AAA-R570	1999-06-07	0.317	0.317	0.3	0.406	0.476	0.506
CP04-3-0-AAA-R570	1999-06-28	0.308	0.308	0.29	0.404	0.517	0.534
CP04-3-0-AAA-R570	1999-07-05	0.313	0.313	0.3	0.449	0.499	0.492
CP04-3-0-AAA-R570	1999-07-19	0.323	0.323	0.292	0.46	0.521	0.524
CP04-3-0-AAA-R570	1999-08-09	0.313	0.313	0.281	0.404	0.501	0.521
CP04-3-0-AAA-R570	1999-08-16	0.316	0.316	0.265	0.404	0.488	0.505
CP04-3-0-AAA-R570	1999-09-07	0.389	0.389	0.311	0.456	0.554	0.541
CP04-3-0-AAA-R570	1999-09-22	0.369	0.369	0.343	0.427	0.508	0.556
CP04-3-0-AAA-R570	1999-10-04	0.343	0.343	0.297	0.412	0.502	0.488
CP04-3-0-AAA-R570	1999-10-12	0.341	0.341	0.284	0.431	0.541	0.549
CP04-3-0-AAA-R570	1999-11-15	0.313	0.313	0.265	0.4	0.499	0.521
GVER-1-0-AAA-R570	2000-07-21	0.3736921	0.3736921	0.3736921	0.3736921	0.3736921	0.3736921
GVER-1-0-AAA-R570	2000-07-29	0.3675977	0.3675977	0.3675977	0.3675977	0.3675977	0.3675977
GVER-1-0-AAA-R570	2000-08-03	0.3674821	0.3674821	0.3674821	0.3674821	0.3674821	0.3674821
GVER-1-0-AAA-R570	2000-08-20	0.3872246	0.3872246	0.3872246	0.3872246	0.3872246	0.3872246
GVER-1-0-AAA-R570	2000-09-02	0.3825596	0.3825596	0.3825596	0.3825596	0.3825596	0.3825596
GVER-1-0-AAA-R570	2000-09-10	0.3753758	0.3753758	0.3753758	0.3753758	0.3753758	0.3753758
GVER-1-0-AAA-R570	2000-09-18	0.3714483	0.3714483	0.3714483	0.3714483	0.3714483	0.3714483
GVER-1-0-AAA-R570	2000-09-30	0.3928033	0.3928033	0.3928033	0.3928033	0.3928033	0.3928033
GVER-1-0-AAA-R570	2000-10-09	0.3825285	0.3825285	0.3825285	0.3825285	0.3825285	0.3825285
GVER-1-0-AAA-R570	2000-10-14	0.369439	0.369439	0.369439	0.369439	0.369439	0.369439
GVER-1-0-AAA-R570	2000-10-21	0.3898711	0.3898711	0.3898711	0.3898711	0.3898711	0.3898711
GVER-1-0-AAA-R570	2000-10-28	0.389805	0.389805	0.389805	0.389805	0.389805	0.389805
GVER-1-0-AAA-R570	2000-11-04	0.3908653	0.3908653	0.3908653	0.3908653	0.3908653	0.3908653
GVER-1-0-AAA-R570	2000-11-11	0.390422	0.390422	0.390422	0.390422	0.390422	0.390422
GVER-1-0-AAA-R570	2000-11-18	0.3906278	0.3906278	0.3906278	0.3906278	0.3906278	0.3906278
