soilcode	layernum	thickness	swcwp	swcfc	swcsat	bdens
CTC04	1	5	0.14	0.26	0.39	1
CTC04	2	15	0.14	0.26	0.39	1
CTC04	3	20	0.19	0.27	0.39	1
CTC04	4	20	0.18	0.27	0.4	1
CTC04	5	20	0.14	0.26	0.54	1
CTC04	6	20	0.14	0.26	0.54	1
BX	1	5	0.283	0.505	0.565	1.13
BX	2	15	0.283	0.505	0.565	1.13
BX	3	20	0.299	0.506	0.566	1.11
BX	4	20	0.297	0.495	0.555	1.11
BX	5	20	0.253	0.496	0.556	1.16
COP4	1	5	0.308	0.462	0.522	0.96
COP4	2	15	0.308	0.462	0.522	0.96
COP4	3	20	0.265	0.396	0.456	0.72
COP4	4	20	0.378	0.553	0.613	0.79
COP4	5	20	0.434	0.624	0.684	0.85
COP4	6	20	0.486	0.631	0.691	0.85
COP2	1	5	0.308	0.462	0.522	0.96
COP2	2	15	0.308	0.462	0.522	0.96
COP2	3	20	0.265	0.396	0.456	0.72
COP2	4	20	0.378	0.553	0.613	0.79
COP2	5	20	0.434	0.624	0.684	0.85
COP2	6	20	0.486	0.631	0.691	0.85
GODET	1	5	0.3	0.45	0.5	1.13
GODET	2	15	0.3	0.45	0.5	1.13
GODET	3	20	0.3	0.45	0.5	1.11
GODET	4	20	0.3	0.45	0.5	1.11
GODET	5	20	0.3	0.45	0.5	1.16
GODET	6	20	0.3	0.45	0.5	0.85
STJEAN	1	5	0.308	0.412	0.61	1.04
STJEAN	2	10	0.308	0.412	0.61	1.04
STJEAN	3	15	0.308	0.412	0.61	1.04
STJEAN	4	20	0.342	0.451	0.557	1.16
STJEAN	5	20	0.342	0.451	0.557	1.16
STJEAN	6	30	0.342	0.451	0.557	1.16
LBIR100	1	5	0	0	0	1
LPSE	1	5	0.31	0.39	0.46	1.08
LPSE	2	15	0.31	0.39	0.46	1.08
LPSE	3	20	0.35	0.45	0.5	1.09
LPSE	4	20	0.38	0.47	0.5	1.02
LPSE	5	20	0.4	0.49	0.5	0.99
LPSE	6	20	0.4	0.49	0.5	0.99
BVI	1	5	0.45	0.572	0.6	1
BVI	2	15	0.45	0.572	0.6	1
BVI	3	20	0.45	0.572	0.6	1
BVI	4	20	0.45	0.572	0.6	1
BVI	5	20	0.45	0.572	0.6	1
BVI	6	20	0.45	0.572	0.6	1
TIR2	1	5	0.285	0.438	0.458	1.08
TIR2	2	15	0.285	0.438	0.458	1.08
TIR2	3	20	0.369	0.475	0.495	1.09
TIR2	4	20	0.422	0.511	0.534	1.02
TIR2	5	20	0.476	0.553	0.587	0.99
TIR2	6	20	0.479	0.556	0.587	0.99
