varcode;paramname;plantcrop;ratoon
R570;humaerini;85.51484745;85.51484745
R570;humaerdec;0.00581315;0.00581315
R570;humaerend;914.3943907;914.3943907
R570;humaertb;12.5;12.5
R570;humstemini;88;88
R570;humstemdec;0.070374;0.070374
R570;kcmax;1.25;1.25
R570;ke;0.65;0.65
R570;laigrowth;0.004;0.004
R570;laimax;7;7
R570;laitb;10;10
R570;laiwksen;0.01;0.01
R570;p01;1;1
R570;p04;0;0
R570;prootini;0.7;0.7
R570;prootdec;0.0005;0.0005
R570;prootend;0.15;0.15
R570;psilb;8;8
R570;pstrudec;1.2;1.2
R570;psugend;0.6;0.6
R570;pstrutb;20;20
R570;pstrutgrowth;0.03;0.03
R570;pstemini;200;200
R570;pstemdec;1.16;1.16
R570;pstemend;0.75;0.75
R570;ruemax;4.2;4.2
R570;ruetk;0.0015;0.0015
R570;ruetopt;32;32
R570;sthydrue;0.6;0.6
R570;sthydlai;1;0.5
R570;emergtt;200;40
R570;emergtb;10;10
R570;roottb;10;10
R570;rootgrowth;0.17;0.17
R570;rldmax;5;5
R570;rwumax;0.035;0.035
