treatcode;layernum;swc
BCSU-0-0-PLU-R570;1;0.39
BCSU-0-0-PLU-R570;2;0.39
BCSU-0-0-PLU-R570;3;0.35
BCSU-0-0-PLU-R570;4;0.49
BCSU-0-0-PLU-R570;5;0.54
BCSU-0-0-PLU-R570;6;0.56
BXAA-2-0-AAA-R570;1;0.38
BXAA-2-0-AAA-R570;2;0.38
BXAA-2-0-AAA-R570;3;0.33
BXAA-2-0-AAA-R570;4;0.46
BXAA-2-0-AAA-R570;5;0.52
BXAA-2-0-AAA-R570;6;0.55
LSE1-1-0-AAA-R570;1;0.34
LSE1-1-0-AAA-R570;2;0.34
LSE1-1-0-AAA-R570;3;0.4
LSE1-1-0-AAA-R570;4;0.42
LSE1-1-0-AAA-R570;5;0.44
LSE1-1-0-AAA-R570;6;0.44
CP02-1-0-AAA-R570;1;0.39
CP02-1-0-AAA-R570;2;0.39
CP02-1-0-AAA-R570;3;0.35
CP02-1-0-AAA-R570;4;0.49
CP02-1-0-AAA-R570;5;0.54
CP02-1-0-AAA-R570;6;0.56
CP04-3-0-AAA-R570;1;0.38
CP04-3-0-AAA-R570;2;0.38
CP04-3-0-AAA-R570;3;0.33
CP04-3-0-AAA-R570;4;0.46
CP04-3-0-AAA-R570;5;0.52
CP04-3-0-AAA-R570;6;0.55
TIR1-3-0-IRI-R570;1;0.36
TIR1-3-0-IRI-R570;2;0.36
TIR1-3-0-IRI-R570;3;0.42
TIR1-3-0-IRI-R570;4;0.46
TIR1-3-0-IRI-R570;5;0.51
TIR1-3-0-IRI-R570;6;0.52
TIR1-3-0-SEV-R570;1;0.42
TIR1-3-0-SEV-R570;2;0.42
TIR1-3-0-SEV-R570;3;0.46
TIR1-3-0-SEV-R570;4;0.49
TIR1-3-0-SEV-R570;5;0.52
TIR1-3-0-SEV-R570;6;0.53
TIR1-5-0-AAA-R570;1;0.43
TIR1-5-0-AAA-R570;2;0.43
TIR1-5-0-AAA-R570;3;0.47
TIR1-5-0-AAA-R570;4;0.48
TIR1-5-0-AAA-R570;5;0.49
TIR1-5-0-AAA-R570;6;0.51
