soilcode;layernum;thickness;swcwp;swcfc;swcsat;bdens
AYR;1;15;0.09;0.25;0.43;1.5
AYR;2;15;0.09;0.25;0.43;1.5
AYR;3;30;0.1;0.26;0.43;1.5
AYR;4;40;0.09;0.24;0.43;1.5
AYR;5;50;0.07;0.21;0.44;1.5
AYR;6;50;0.1;0.23;0.43;1.5
CTC04;1;5;0.14;0.26;0.39;1
CTC04;2;15;0.14;0.26;0.39;1
CTC04;3;20;0.19;0.27;0.39;1
CTC04;4;20;0.18;0.27;0.4;1
CTC04;5;20;0.14;0.26;0.54;1
CTC04;6;20;0.14;0.26;0.54;1
BX;1;5;0.283;0.505;0.565;1.13
BX;2;15;0.283;0.505;0.565;1.13
BX;3;20;0.299;0.506;0.566;1.11
BX;4;20;0.297;0.495;0.555;1.11
BX;5;20;0.253;0.496;0.556;1.16
COP4;1;5;0.308;0.462;0.522;0.96
COP4;2;15;0.308;0.462;0.522;0.96
COP4;3;20;0.265;0.396;0.456;0.72
COP4;4;20;0.378;0.553;0.613;0.79
COP4;5;20;0.434;0.624;0.684;0.85
COP4;6;20;0.486;0.631;0.691;0.85
CHIREDZI;1;5;0.13;0.2;0.38;1
CHIREDZI;2;5;0.13;0.21;0.39;1
CHIREDZI;3;5;0.15;0.24;0.42;1
CHIREDZI;4;5;0.18;0.27;0.45;1
CHIREDZI;5;5;0.21;0.31;0.49;1
CHIREDZI;6;5;0.24;0.34;0.52;1
CHIREDZI;7;10;0.24;0.34;0.52;1
CHIREDZI;8;15;0.24;0.34;0.52;1
CHIREDZI;9;15;0.21;0.32;0.5;1
CHIREDZI;10;15;0.19;0.28;0.46;1
CHIREDZI;11;15;0.16;0.25;0.43;1
CHIREDZI;12;20;0.1;0.17;0.35;1
CHIREDZI;13;20;0.1;0.16;0.34;1
COP2;1;5;0.308;0.462;0.522;0.96
COP2;2;15;0.308;0.462;0.522;0.96
COP2;3;20;0.265;0.396;0.456;0.72
COP2;4;20;0.378;0.553;0.613;0.79
COP2;5;20;0.434;0.624;0.684;0.85
COP2;6;20;0.486;0.631;0.691;0.85
GODET;1;5;0.3;0.45;0.5;1.13
GODET;2;15;0.3;0.45;0.5;1.13
GODET;3;20;0.3;0.45;0.5;1.11
GODET;4;20;0.3;0.45;0.5;1.11
GODET;5;20;0.3;0.45;0.5;1.16
GODET;6;20;0.3;0.45;0.5;0.85
STJEAN;1;5;0.308;0.412;0.61;1.04
STJEAN;2;10;0.308;0.412;0.61;1.04
STJEAN;3;15;0.308;0.412;0.61;1.04
STJEAN;4;20;0.342;0.451;0.557;1.16
STJEAN;5;20;0.342;0.451;0.557;1.16
STJEAN;6;30;0.342;0.451;0.557;1.16
HOUMA;1;10;0.13;0.33;0.51;1
HOUMA;2;20;0.13;0.33;0.51;1
HOUMA;3;30;0.17;0.36;0.54;1
HOUMA;4;40;0.17;0.36;0.54;1
INGHAM;1;20;0.06;0.22;0.39;1.09
INGHAM;2;20;0.1;0.24;0.39;1.37
INGHAM;3;20;0.15;0.27;0.38;1.41
INGHAM;4;30;0.14;0.3;0.37;1.45
INGHAM;5;30;0.14;0.28;0.39;1.69
INGHAM;6;30;0.14;0.28;0.39;1.71
INGHAM;7;30;0.14;0.28;0.39;1.71
KOMATI;1;25;0.15;0.25;0.36;1.63
KOMATI;2;15;0.12;0.21;0.31;1.77
KOMATI;3;15;0.1;0.19;0.29;1.82
KOMATI;4;15;0.12;0.21;0.38;1.56
KOMATI;5;15;0.09;0.18;0.38;1.56
LAMERCY;1;5;0.1;0.25;0.38;1.3
LAMERCY;2;10;0.1;0.25;0.32;1.61
LAMERCY;3;15;0.1;0.23;0.31;1.63
LAMERCY;4;15;0.13;0.22;0.31;1.59
LAMERCY;5;15;0.13;0.23;0.34;1.48
LAMERCY;6;15;0.14;0.25;0.35;1.46
LAMERCY;7;15;0.22;0.32;0.39;1.48
LAMERCY;8;15;0.3;0.34;0.38;1.56
LAMERCY;9;15;0.34;0.37;0.39;1.6
LAMERCY;10;45;0.35;0.4;0.41;1.56
LBIR100;1;5;0;0;0;1
LPSE;1;5;0.31;0.39;0.46;1.08
LPSE;2;15;0.31;0.39;0.46;1.08
LPSE;3;20;0.35;0.45;0.5;1.09
LPSE;4;20;0.38;0.47;0.5;1.02
LPSE;5;20;0.4;0.49;0.5;0.99
LPSE;6;20;0.4;0.49;0.5;0.99
mact03mono;1;5;0;0;0;1
BVI;1;5;0.45;0.572;0.6;1
BVI;2;15;0.45;0.572;0.6;1
BVI;3;20;0.45;0.572;0.6;1
BVI;4;20;0.45;0.572;0.6;1
BVI;5;20;0.45;0.572;0.6;1
BVI;6;20;0.45;0.572;0.6;1
PIRACI;1;5;0.2;0.31;0.48;1.37
PIRACI;2;10;0.2;0.31;0.48;1.37
PIRACI;3;15;0.22;0.33;0.48;1.37
PIRACI;4;15;0.23;0.33;0.48;1.35
PIRACI;5;15;0.23;0.33;0.48;1.35
PIRACI;6;15;0.24;0.34;0.48;1.15
PIRACI;7;15;0.24;0.34;0.49;1.15
PIRACI;8;15;0.24;0.34;0.49;1.13
PIRACI;9;15;0.25;0.35;0.49;1.13
PIRACI;10;45;0.25;0.35;0.49;1.1
SANCARLOS;1;30;0.13;0.32;0.5;1
SANCARLOS;2;45;0.18;0.36;0.54;1
SANCARLOS;3;25;0.34;0.45;0.63;1
TIR2;1;5;0.285;0.438;0.458;1.08
TIR2;2;15;0.285;0.438;0.458;1.08
TIR2;3;20;0.369;0.475;0.495;1.09
TIR2;4;20;0.422;0.511;0.534;1.02
TIR2;5;20;0.476;0.553;0.587;0.99
TIR2;6;20;0.479;0.556;0.587;0.99
