nbbgi;treatcode;cycle;varcode;rowspace;begdate;enddate;trialat;trialong;trialalt;soilcode;inisoilvol;rootdepth;irricode;wstacode
9;AYRG-0-0-N01-Q117;0;R570;1.5;22/04/1992;13/08/1993;-19.6;147.43;11;AYR;0.9;100;AYR-0;501
9;AYRG-0-0-N02-Q117;0;R570;1.5;22/04/1992;13/08/1993;-19.6;147.43;11;AYR;0.9;100;AYR-0;501
9;AYRG-0-0-N03-Q117;0;R570;1.5;22/04/1992;13/08/1993;-19.6;147.43;11;AYR;0.9;100;AYR-0;501
9;AYRG-1-0-N01-Q117;1;R570;1.5;11/09/1993;13/10/1994;-19.6;147.43;11;AYR;0.9;100;AYR-1;501
9;AYRG-1-0-N02-Q117;1;R570;1.5;11/09/1993;13/10/1994;-19.6;147.43;11;AYR;0.9;100;AYR-1;501
9;AYRG-1-0-N03-Q117;1;R570;1.5;11/09/1993;13/10/1994;-19.6;147.43;11;AYR;0.9;100;AYR-1;501
9;BCCA-0-0-AAA-R570;0;R570;1.4;11/09/2002;21/08/2003;-21;55;100;CTC04;0.7;100;RAINFED;201
9;BCCA-0-0-AAA-SP791011;0;R570;1.4;11/09/2002;21/08/2003;-21;55;100;CTC04;0.7;100;RAINFED;201
9;BCSU-0-0-IRR-NCO376;0;R570;1.4;29/10/2004;27/09/2005;-21;55;100;CTC04;0.95;100;CSU-0;201
9;BCSU-0-0-IRR-R570;0;R570;1.4;29/10/2004;27/09/2005;-21;55;100;CTC04;0.95;100;CSU-0;201
9;BCSU-0-0-IRR-RB72454;0;R570;1.4;29/10/2004;27/09/2005;-21;55;100;CTC04;0.95;100;CSU-0;201
9;BCSU-0-0-IRR-SP832847;0;R570;1.4;29/10/2004;27/09/2005;-21;55;100;CTC04;0.95;100;CSU-0;201
9;BCSU-0-0-PLU-NCO376;0;R570;1.4;29/10/2004;27/09/2005;-21;55;100;CTC04;0.95;100;RAINFED;201
9;BCSU-0-0-PLU-R570;0;R570;1.4;29/10/2004;27/09/2005;-21;55;100;CTC04;0.95;100;RAINFED;201
9;BCSU-0-0-PLU-RB72454;0;R570;1.4;29/10/2004;27/09/2005;-21;55;100;CTC04;0.95;100;RAINFED;201
9;BCSU-0-0-PLU-SP832847;0;R570;1.4;29/10/2004;27/09/2005;-21;55;100;CTC04;0.95;100;RAINFED;201
9;BXAA-2-0-AAA-R570;2;R570;1.5;13/10/1998;15/10/1999;-21;55;550;BX;0.25;80;RAINFED;974002
9;BXAA-3-0-AAA-R570;3;R570;1.5;05/10/1999;23/06/2000;-21;55;550;BX;0.25;80;RAINFED;974002
9;BXAA-3-0-BAA-R570;3;R570;1.5;05/10/1999;23/06/2000;-21;55;550;BX;0.25;80;RAINFED;974002
9;BXAA-3-0-CAA-R570;3;R570;1.5;05/10/1999;23/06/2000;-21;55;550;BX;0.25;80;RAINFED;974002
9;CCYC-1-0-D1A-R570;1;R570;1.5;28/07/2001;22/07/2003;-21;55;100;COP4;0.25;80;RAINFED;97413520
9;CCYC-1-0-D2A-R570;1;R570;1.5;12/12/2001;22/07/2003;-21;55;100;COP4;0.25;80;RAINFED;97413520
9;CCYC-2-0-D1A-R570;2;R570;1.5;22/07/2003;15/11/2004;-21;55;100;COP4;0.25;80;RAINFED;97413520
9;CCYC-2-0-D2A-R570;2;R570;1.5;08/09/2003;15/11/2004;-21;55;100;COP4;0.25;80;RAINFED;97413520
9;CCYC-2-0-D3A-R570;2;R570;1.5;28/10/2003;15/11/2004;-21;55;100;COP4;0.25;80;RAINFED;97413520
9;CCYC-2-0-D4A-R570;2;R570;1.5;04/12/2003;15/11/2004;-21;55;100;COP4;0.25;80;RAINFED;97413520
9;CHIG-0-0-ZN6-ZN6;0;R570;1.5;15/05/2009;02/06/2010;-21.3;31.6;420;CHIREDZI;0.9;100;CHI-0;508
9;CHIG-0-0-ZN7-ZN7;0;R570;1.5;15/05/2009;02/06/2010;-21.3;31.6;420;CHIREDZI;0.9;100;CHI-0;508
