wstacode;wsalt;wslat;wslong;TAV;AMP;countrycode;wstype;wsname
1001;69;-21;-55;NA;NA;MU;M;MU Bellevue
1030;9;38.8;9;NA;NA;MA;M;MA Station Meteo Gharb
1100;4;15.5;16.72;NA;NA;SN;M;SN Richard Toll
97105;200;16;61;NA;NA;GP;M;GP Godet
97117;0;16;61;NA;NA;GP;M;GP St Jean
97198;50;16;61;NA;NA;GP;M;GP unknown
97404540;22;-21.277466;55.374194;NA;NA;RE;M;PONT MATHURIN
974002;500;-20.947222;55.5625;NA;NA;RE;M;RE Baraux X JFM
201;566;-22.7;-47.55;NA;NA;BR;M;BR meteo CTC
974001;250;-21.3175;55.504722;NA;NA;RE;M;RE Tirano
101;750;-21;55;NA;NA;RE;M;RE VueBelle T-Dsab
974003;650;-21.078333;55.285278;NA;NA;RE;M;RE VueBelleCir Delicas
97413520;790;-21.130359;55.304741;NA;NA;RE;M;COLIMACONS (CIRAD)
97416465;150;-21.319189;55.485169;NA;NA;RE;M;LIGNE PARADIS
97418123;205;-20.903476;55.532057;NA;NA;RE;M;LA MARE
974005;665;-21.3025;55.5433;NA;NA;RE;M;Berive-Syp tout interpo
97100;100;16.164722;-61.467222;NA;NA;GP;M;GP Fromager
501;11;-19.6;147.43;NA;NA;AU;M;Ayr- Agmip
502;44;-2.2088;-79.433;NA;NA;EC;M;Sancarlos- Agmip
503;560;-22.8833;-47.5;NA;NA;BR;M;Piracicaba- Agmip
504;16;-18.7;146.2;NA;NA;AU;M;Ingham- Agmip
505;72;-29.57;31.13;NA;NA;ZA;M;Lamercy- Agmip
506;187;-25.6165;31.866;NA;NA;ZA;M;Komatipoort- Agmip
507;2;29.6374;-90.8395;NA;NA;US;M;Houma- Agmip
508;420;-21.3;31.6;NA;NA;ZM;M;Chiredzi- Agmip
103;412;-20.960708;55.625726;NA;NA;RE;M;RE Menciol T-Dsab
97101;10;16.11;-61.35;NA;NA;GP;M;GP ROUJOL
