,codtrait,id_bassin,datesimul,nomplante,dmbaer,dmstm,dmsug,etm,etp,etr,irdose,jat,nage,pari,rr,rg,sdj,sug_stm,tmo,tn,tx,yldcan,lai,ei,kcp,stmo,stmot,swdf1,swdf2,swdef,mst,swdfpart1,trp,runoff,srunoff,runofft,srunofft,par,spar,spari,sparit,drain,sdrain,sdraint,sddbla,sddblat,setp,setm,setr,setpt,setmt,setrt,dmrac,tmp,strpt,strp,stmp,stmpt,stock,stockfr,stockm,htvd,spr,stockevap,swdefm,swdf1m,swdf2m,swdeft,swdf1t,swdf2t,tableclimat,id_session
1,1,1,2017-12-04,R570,0,0,0,0.36601941747573,2.00,0.36601941747573,0,0,1,0,0.3,9.52,8.6,0,20.6,16.5,24.7,0,0,0,0,20.6,0,1,1,0.0019398058252427,0,1.018,0,0,0,0,0,4.76,4.76,0,0,0,0,0,8.6,0,2,0.36601941747573,0.36601941747573,0,0,0,0,0,0,0,0,0,49.933980582524,0.19398058252427,2.4339805825243,0,0.3,9.9339805825243,5.3000159159637E-6,0.0027322404371585,0.0027322404371585,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
2,1,1,2017-12-05,R570,0,0,0,3.3,3.30,3.3,15,0,2,0,0.5,15.45,17.95,0,21.35,16.1,26.6,0,0,0,0,41.95,0,1,1,0.0028679611650486,0,1.0405,0,0,0,0,0,7.725,12.485,0,0,0,0,0,17.95,0,5.3,3.6660194174757,3.6660194174757,0,0,0,0,0,0,0,0,0,62.133980582524,0.28679611650486,14.633980582524,0,0.8,9.9339805825243,1.313597538331E-5,0.0054644808743169,0.0054644808743169,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
3,1,1,2017-12-06,R570,0,0,0,2.8,2.80,2.8,0,0,3,0,2.0,13.74,26.9,0,20.95,16.1,25.8,0,0,0,0,62.9,0,1,1,0.0052679611650485,0,1.0285,0,0,0,0,0,6.87,19.355,0,0,0,0,0,26.9,0,8.1,6.4660194174757,6.4660194174757,0,0,0,0,0,0,0,0,0,61.333980582524,0.52679611650485,13.833980582524,0,2.8,9.9339805825243,2.7529311899836E-5,0.0081967213114754,0.0081967213114754,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
4,1,1,2017-12-07,R570,0,0,0,2.6,2.60,2.6,15,0,4,0,1.5,10.88,35.65,0,20.75,15.7,25.8,0,0,0,0,83.65,0,1,1,0.034667961165049,0,1.0225,0,0,0,0,0,5.44,24.795,0,0,0,0,0,35.65,0,10.7,9.0660194174757,9.0660194174757,0,0,0,0,0,0,0,0,0,75.233980582524,3.4667961165049,27.733980582524,0,4.3,9.9339805825243,0.00012225051726882,0.010928961748634,0.010928961748634,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
5,1,1,2017-12-08,R570,0,0,0,2.8,2.80,2.8,0,0,5,0,4.0,13.63,44.8,0,21.15,15.7,26.6,0,0,0,0,104.8,0,1,1,0.035387961165049,0,1.0345,0,0.04,0.04,0,0,6.815,31.61,0,0,0,0,0,44.8,0,13.5,11.866019417476,11.866019417476,0,0,0,0,0,0,0,0,0,76.393980582524,3.5387961165049,28.893980582524,0,8.3,9.9339805825243,0.00021893893575256,0.013661202185792,0.013661202185792,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
6,1,1,2017-12-09,R570,0,0,0,2.8,2.80,2.8,15,0,6,0,0.8,13.36,53.55,0,20.75,16.0,25.5,0,0,0,0,125.55,0,1,1,0.061387961165049,0,1.0225,0,0,0.04,0,0,6.68,38.29,0,0,0,0,0,53.55,0,16.3,14.666019417476,14.666019417476,0,0,0,0,0,0,0,0,0,89.393980582524,6.1387961165049,41.893980582524,0.1875,9.1,9.9339805825243,0.00038666560560242,0.016393442622951,0.016393442622951,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
7,1,1,2017-12-10,R570,0,0,0,4.4,4.40,4.4,0,0,7,0,0.0,21.37,64,0,22.45,15.7,29.2,0,0,0,0,148,0,1,1,0.039787961165049,0,1.0735,0,0,0.04,0,0,10.685,48.975,0,0,0,0,0,64,0,20.7,19.066019417476,19.066019417476,0,0,0,0,0,0,0,0,0,84.993980582524,3.9787961165049,37.493980582524,0.46,9.1,9.9339805825243,0.00049537588200966,0.019125683060109,0.019125683060109,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
8,1,1,2017-12-11,R570,0,0,0,4.71,4.71,4.71,15,0,8,0,2.1,24.07,74.8,0,22.8,16.4,29.2,0,0,0,0,170.8,0,1,1,0.062087961165048,0,1.084,0,0,0.04,0,0,12.035,61.01,0,0,2.0939805825243,2.0939805825243,0,74.8,0,25.41,23.776019417476,23.776019417476,0,0,0,0,0,0,0,0,0,95.29,6.2087961165048,49.883980582524,0.75,11.2,9.9339805825243,0.00066501512016553,0.021857923497268,0.021857923497268,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
9,1,1,2017-12-12,R570,0,0,0,3.41,3.41,3.41,0,0,9,0,0.9,15.24,85.15,0,22.35,16.9,27.8,0,0,0,0,193.15,0,1,1,0.067467961165048,0,1.0705,0,0,0.04,0,0,7.62,68.63,0,0,0,2.0939805825243,0,85.15,0,28.82,27.186019417476,27.186019417476,0,0,0,0,0,0,0,0,0,92.78,6.7467961165048,47.373980582524,1.0175,12.1,9.9339805825243,0.00084935381187331,0.024590163934426,0.024590163934426,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
10,1,1,2017-12-13,R570,0,0,0,3.41,3.41,3.41,15,0,10,0,10.0,15.65,96.4,0,23.25,17.7,28.8,0,0,0,0,216.4,0,1,1,0.11008796116505,0,1.0975,0,0.28,0.32,0,0,7.825,76.455,0,0,17.5,19.593980582524,0,96.4,0,32.23,30.596019417476,30.596019417476,0,0,0,0,0,0,0,0,0,96.59,11.008796116505,68.683980582524,1.33,22.1,9.9339805825243,0.0011501405910128,0.027322404371585,0.027322404371585,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
11,1,1,2017-12-14,R570,0.038450146744325,0,0,3.41,3.41,3.41,0,0,11,0.020650415779967,2.0,15.6,106.85,0,22.45,16.9,28.0,0,0.0055,0.0026474892025599,0,238.85,0,1,1,0.10726796116505,0.061029105733613,1.0735,0,0,0.32,0,0,7.8,84.255,0.020650415779967,0,0,19.593980582524,0,106.85,0,35.64,34.006019417476,34.006019417476,0,0,0,0.0061029105733613,0,0,0,0,0,95.18,10.726796116505,67.273980582524,1.6025,24.1,9.9339805825243,0.0014432224521195,0.030054644808743,0.030054644808743,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
12,1,1,2017-12-15,R570,0.077387256720233,0,0,3.4509838694238,3.31,3.3469222770297,15,0,12,0.02088789856156,0.1,14.92,117.35,0,22.5,16.9,28.1,0,0.005817248333834,0.0027999864023539,0.044958314025328,261.35,0,1,1,0.13127873839475,0.12282818654435,1.075,0.044750427029739,0,0.32,0,0,7.46,91.715,0.041538314341527,0,10.28,29.873980582524,0,117.35,0,38.95,37.4570032869,37.352941694505,0,0,0,0.012282818654435,0.14881201942384,0,0.044750427029739,0.14881201942384,0,96.65307772297,13.127873839475,79.027058305495,1.8775,24.2,9.9339805825243,0.0018019075297008,0.032786885245902,0.032786885245902,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
13,1,1,2017-12-16,R570,0.09461152955982,0,0,1.7847874514603,1.71,1.7365481293463,0,0,13,0.0096756051011111,1.9,6.55,126.45,0,21.1,17.6,24.6,0,0.0061384980122146,0.0029543832369805,0.046236768514722,282.45,0,1,1,0.14448863531753,0.15016513540477,1.033,0.030825552046131,0,0.32,0,0,3.275,94.99,0.051213919442638,0,0,29.873980582524,0,126.45,0,40.66,39.24179073836,39.089489823852,0,0,0,0.015016513540477,0.079064874160174,0,0.07557597907587,0.22787689358401,0,96.816529593624,14.448863531753,79.190510176148,2.0825,26.1,9.9339805825243,0.0021966852218252,0.03551912568306,0.03551912568306,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
14,1,1,2017-12-17,R570,0.12088874309989,0,0,2.6225904190371,2.51,2.553176720679,15,0,14,0.014176337535728,2.9,9.38,136.5,0,22.05,16.3,27.8,0,0.0062806032196367,0.003022673248556,0.047496294797477,304.5,0,1,1,0.16864925314551,0.19186882547459,1.0615,0.049802001583583,0,0.32,0,0,4.69,99.68,0.065390256978366,0,14.716529593624,44.590510176148,0,136.5,0,43.17,41.864381157397,41.642666544531,0,0,0,0.019186882547459,0.11921569994167,0,0.12537798065945,0.34709259352568,0,97.446823279321,16.864925314551,94.537333455469,2.335,29,9.9339805825243,0.0026574755309659,0.038251366120219,0.038251366120219,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
15,1,1,2017-12-18,R570,0.16657979917347,0,0,3.4600828661398,3.31,3.3578150305955,0,0,15,0.024748964850423,0.2,15.83,146.55,0,22.05,16.8,27.3,0,0.0064973902605811,0.0031268433165411,0.048042915015812,326.55,0,1,1,0.15589651660498,0.26437952275494,1.0615,0.056754213158003,0,0.32,0,0,7.915,107.595,0.090139221828789,0,0,44.590510176148,0,146.55,0,46.48,45.324464023537,45.000481575126,0,0,0,0.026437952275494,0.15902204870234,0,0.18213219381746,0.50611464222801,0,94.289008248725,15.589651660498,91.379518424874,2.5875,29.2,9.9339805825243,0.0030834222976462,0.040983606557377,0.040983606557377,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
16,1,1,2017-12-19,R570,0.22508301255339,0,0,4.1947453105846,4.01,4.0714185816097,15,0,16,0.031822366590534,0.3,19.24,156.4,0,21.85,16.7,27.0,0,0.0068743187523702,0.0033079383150243,0.04886502758378,348.4,0,1,1,0.17264485103365,0.35721618351637,1.0555,0.07262203163604,0,0.32,0,0,9.62,117.215,0.12196158841932,0,9.5890082487255,54.179518424874,0,156.4,0,50.49,49.519209334121,49.071900156736,0,0,0,0.035721618351637,0.19594876061096,0,0.2547542254535,0.70206340283897,0,95.92858141839,17.264485103365,102.60809984326,2.83,29.5,9.9339805825243,0.0035551295409075,0.043715846994536,0.043715846994536,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
17,1,1,2017-12-20,R570,0.29522717945966,0,0,4.4091602624536,4.21,4.2701567443452,0,0,17,0.037485930483966,0.1,21.18,167,0,22.6,16.7,28.5,0,0.0073569038427727,0.0035397479210544,0.05026243270571,371,0,1,1,0.16271463224308,0.46851590431201,1.078,0.072601323582573,0,0.32,0,0,10.59,127.805,0.15944751890329,0,0,54.179518424874,0,167,0,54.7,53.928369596575,53.342056901081,0,0,0,0.046851590431201,0.21160484169104,0,0.32735554903607,0.91366824453001,0,91.758424674045,16.271463224308,98.437943098919,3.11,29.6,9.9339805825243,0.0039997050388394,0.046448087431694,0.046448087431694,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
18,1,1,2017-12-21,R570,0.32645921035001,0,0,2.0032715701593,1.91,1.9621325693081,15,0,18,0.017160049545949,7.6,8.99,176.35,0,21.35,16.3,26.4,0,0.0079354599310619,0.003817586105884,0.051996751458326,392.35,0,1,1,0.22208656050476,0.5180707516972,1.0405,0.058174794434213,0.184,0.504,0,0,4.495,132.3,0.17660756844924,0,14.174424674045,68.353943098919,0,176.35,0,56.61,55.931641166734,55.304189470389,0,0,0,0.05180707516972,0.099313795285404,0,0.38553034347028,1.0129820398154,0,98.037867430692,22.208656050476,118.89181052961,3.3275,37.2,9.9339805825243,0.0046064989199999,0.049180327868852,0.049180327868852,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
