num_labo;long;lat;alt
8307;55.32505448;-21.02284077;0.000
8021;55.31880564;-21.18752428;0.000
8032;55.30016867;-21.20503857;0.000
7880;55.31887544;-21.16261430;0.000
7875;55.31715918;-21.17688394;0.000
8141;55.31090017;-21.17958753;0.000
8488;55.35640699;-20.96744328;0.000
7768;55.28369689;-21.13426295;0.000
4383;55.29798078;-21.06931966;0.000
8188;55.32957000;-21.21344792;0.000
7799;55.31498201;-21.15724416;0.000
7981;55.31729860;-21.19376634;0.000
8568;55.30480694;-21.07204764;0.000
7914;55.31759622;-21.21004682;0.000
8113;55.31331329;-21.18637145;0.000
8332;55.29895915;-21.02725536;0.000
8346;55.30622960;-21.03520811;0.000
4538;55.28127429;-21.08113449;0.000
8585;55.33735166;-20.99084269;0.000
4449;55.30437788;-21.06770907;0.000
8159;55.30841255;-21.22437702;0.000
8215;55.31347768;-21.19507702;0.000
8088;55.32588256;-21.22367079;0.000
8430;55.32616642;-21.02099852;0.000
4303;55.28186721;-21.09452408;0.000
4395;55.29932818;-21.08129473;0.000
8577;55.31923027;-21.01600272;0.000
8630;55.30360094;-21.06991506;0.000
4259;55.27495891;-21.07461634;0.000
4358;55.31123369;-21.08452414;0.000
8563;55.31235078;-21.02525326;0.000
4489;55.29221769;-21.08585125;0.000
8564;55.31145714;-20.98080766;0.000
8063;55.29755051;-21.23146619;0.000
7761;55.31063281;-21.20662588;0.000
8179;55.28788629;-21.20940636;0.000
7843;55.29468732;-21.21646783;0.000
4452;55.28661058;-21.07435494;0.000
4535;55.27995007;-21.07064349;0.000
8319;55.35365010;-20.96883745;0.000
7854;55.29403945;-21.19315214;0.000
8253;55.28941104;-21.05004735;0.000
7858;55.31642628;-21.19099639;0.000
4447;55.28143831;-21.10354531;0.000
7754;55.30910041;-21.19796174;0.000
8014;55.32063928;-21.19560237;0.000
8447;55.35453943;-20.96934303;0.000
4403;55.25211706;-21.08144989;0.000
7781;55.32943967;-21.21354904;0.000
8387;55.28493713;-21.05204691;0.000
8606;55.34524408;-21.00298435;0.000
8641;55.33032153;-21.01921532;0.000
8355;55.29269790;-21.03174303;0.000
4411;55.28093658;-21.07134423;0.000
8381;55.33543224;-21.00334717;0.000
4352;55.28309108;-21.08525206;0.000
4257;55.31624233;-21.05968711;0.000
7983;55.30607667;-21.22822165;0.000
4467;55.27557847;-21.06351998;0.000
8428;55.31835428;-21.02748168;0.000
4577;55.28742755;-21.08635392;0.000
4301;55.24096479;-21.06013478;0.000
8036;55.32979728;-21.21948873;0.000
4339;55.25887596;-21.08093985;0.000
8335;55.27804611;-21.05349833;0.000
8051;55.32062244;-21.16103907;0.000
8390;55.32004107;-21.02021007;0.000
4481;55.27402238;-21.06439893;0.000
8125;55.31207128;-21.18365176;0.000
8351;55.28648224;-21.03894460;0.000
7839;55.33013858;-21.20357040;0.000
7884;55.33420564;-21.20932424;0.000
8023;55.30260375;-21.20877705;0.000
8527;55.31270019;-21.03315841;0.000
8379;55.34672121;-20.98454166;0.000
8637;55.30764724;-20.97403140;0.000
8388;55.27717291;-21.05195873;0.000
8581;55.30353972;-20.98962852;0.000
4288;55.29417509;-21.08515563;0.000
8514;55.30479030;-20.99228083;0.000
4330;55.29623172;-21.07798710;0.000
4286;55.29799577;-21.12022956;0.000
4244;55.28399294;-21.08617486;0.000
8138;55.30603556;-21.20037685;0.000
8310;55.27715888;-21.04672411;0.000
8111;55.31974832;-21.20965310;0.000
8081;55.31417651;-21.21190162;0.000
8034;55.30330616;-21.18637419;0.000
8636;55.31843492;-21.01017721;0.000
4487;55.25385995;-21.07472404;0.000
8089;55.33039735;-21.22640562;0.000
8053;55.31871092;-21.23137695;0.000
7978;55.32485083;-21.21835703;0.000
8425;55.32097574;-21.02157262;0.000
7730;55.32920535;-21.19337514;0.000
8364;55.30396543;-21.05186150;0.000
8429;55.30296221;-21.01999161;0.000
7746;55.24514104;-21.08326274;0.000
8173;55.29981580;-21.22261656;0.000
4289;55.24223712;-21.07047357;0.000
8566;55.30525318;-20.98177992;0.000
7931;55.31374629;-21.18984480;0.000
8309;55.32752436;-21.02176066;0.000
4437;55.27069092;-21.06138089;0.000
4522;55.26497682;-21.08840753;0.000
8169;55.31405551;-21.17689169;0.000
4529;55.30458349;-21.09659804;0.000
4574;55.28548994;-21.07221312;0.000
7988;55.32305208;-21.20026113;0.000
8401;55.29995219;-21.07084980;0.000
4595;55.28618359;-21.07530938;0.000
8192;55.32432127;-21.22288914;0.000
7989;55.33828183;-21.20946952;0.000
8190;55.32628967;-21.21663235;0.000
7762;55.31071511;-21.20586917;0.000
8393;55.27149574;-21.05728521;0.000
4340;55.23903043;-21.07369766;0.000
7778;55.31495734;-21.16660645;0.000
8445;55.34805022;-20.96549110;0.000
8058;55.31109465;-21.15486343;0.000
7851;55.33262538;-21.22386368;0.000
4415;55.27617189;-21.06948535;0.000
7882;55.32730128;-21.22268026;0.000
4386;55.28269153;-21.03315424;0.000
4499;55.30329765;-21.12032816;0.000
7908;55.31541359;-21.19129457;0.000
8567;55.29171749;-21.05243058;0.000
7977;55.32733847;-21.21967184;0.000
8591;55.30916060;-21.03214643;0.000
4436;55.26854923;-21.06004198;0.000
7837;55.31858156;-21.19695740;0.000
7975;55.33036335;-21.21469922;0.000
8311;55.29675225;-21.05955272;0.000
4536;55.30559183;-21.08259873;0.000
7912;55.30949553;-21.20399184;0.000
8003;55.32907597;-21.21662455;0.000
8546;55.30154930;-21.05951433;0.000
8302;55.30482567;-21.02904402;0.000
7789;55.32599479;-21.21762000;0.000
8407;55.32836501;-21.01421736;0.000
7970;55.32899499;-21.21391449;0.000
8132;55.31321146;-21.20648903;0.000
8061;55.32122501;-21.24081484;0.000
7742;55.30237133;-21.23423894;0.000
8470;55.30602383;-21.01681791;0.000
8609;55.30788084;-20.99278296;0.000
7729;55.33002193;-21.19342727;0.000
8406;55.29097650;-21.06382930;0.000
8207;55.31727136;-21.17980328;0.000
