date	rr	etp	tx	tn	rg	ux	un	vt	tm
24-05-1994	0.1	2.335509009	27.03859649	19.91882353	11.79686615	-999	-999	-999	23.47871001
25-05-1994	0	2.4	26.7	19.1	12.12	-999	-999	-999	22.2
26-05-1994	0	3.8	28.4	20.2	18.06	-999	-999	-999	23.3
27-05-1994	0	3.7	27	18.9	15.24	-999	-999	-999	22.3
28-05-1994	1	2.8	28.3	18.8	12.45	-999	-999	-999	22.9
29-05-1994	1	1.9	26.3	20.5	9.24	-999	-999	-999	23.2
30-05-1994	0	3.5	28.1	18.7	17.37	-999	-999	-999	22.9
31-05-1994	0	3.6	27.7	17.1	17.39	-999	-999	-999	22.1
01-06-1994	0	4.2	24.7	18.8	17.9	-999	-999	-999	21.7
02-06-1994	3	3.5	25	17.9	15.7	-999	-999	-999	21.2
03-06-1994	2	3.7	26.3	18.8	16.48	-999	-999	-999	22.2
04-06-1994	3.5	3.4	26.1	19.2	14.85	-999	-999	-999	22.1
05-06-1994	0	3.4	26.5	18.6	14.1	-999	-999	-999	22.5
06-06-1994	0	3.1	27	18.5	13.51	-999	-999	-999	22.1
07-06-1994	0	2.644268342	25.983864	16.978822	13.00016851	-999	-999	-999	21.59360146
08-06-1994	0	2.644268342	25.683864	16.878822	13.09016851	-999	-999	-999	21.39360146
09-06-1994	0	3.444268342	26.183864	16.578822	16.45016851	-999	-999	-999	21.49360146
10-06-1994	0	3.344268342	25.583864	15.678822	16.22016851	-999	-999	-999	20.69360146
11-06-1994	0	3.550017117	25.583864	18.078822	16.92069952	-999	-999	-999	21.89360146
12-06-1994	0	2.450017117	24.783864	15.578822	12.16069952	-999	-999	-999	20.29360146
13-06-1994	0	2.150017117	25.083864	15.778822	10.57069952	-999	-999	-999	20.49360146
14-06-1994	0	3.350017117	25.283864	15.078822	16.31069952	-999	-999	-999	20.29360146
15-06-1994	0	3.050017117	25.083864	14.578822	14.96069952	-999	-999	-999	19.89360146
16-06-1994	0.1	2.350017117	23.383864	14.078822	11.40069952	-999	-999	-999	18.79360146
17-06-1994	0	3.350017117	24.183864	16.078822	16.13069952	-999	-999	-999	20.19360146
18-06-1994	0	2.850017117	24.883864	17.978822	13.73069952	-999	-999	-999	21.49360146
19-06-1994	0	2.750017117	25.483864	18.378822	13.53069952	-999	-999	-999	21.99360146
20-06-1994	0	2.550017117	25.683864	16.778822	12.67069952	-999	-999	-999	21.29360146
21-06-1994	0.8	3.352608197	26.383864	15.578822	15.92808654	-999	-999	-999	21.09360146
22-06-1994	0	3.352608197	26.083864	17.578822	16.35808654	-999	-999	-999	21.89360146
23-06-1994	0	3.352608197	25.683864	17.678822	16.29808654	-999	-999	-999	21.79360146
24-06-1994	0	3.352608197	24.483864	14.278822	16.08808654	-999	-999	-999	19.49360146
25-06-1994	0	3.252608197	25.683864	18.578822	15.52808654	-999	-999	-999	22.19360146
26-06-1994	2.1	3.152608197	25.083864	15.178822	15.41808654	-999	-999	-999	20.19360146
27-06-1994	11.4	1.752608197	23.783864	17.578822	8.838086539	-999	-999	-999	20.79360146
28-06-1994	11	3.6	26.5	18.6	15.85	-999	-999	-999	22.2
29-06-1994	5.5	2.8	25.3	19.2	14.58	-999	-999	-999	22
30-06-1994	0	3.4	25.9	20.6	16.65	-999	-999	-999	22.5
01-07-1994	0.5	3.3	26.5	20	13.94	-999	-999	-999	22.2
