nomirrig,typirrig,efficience,doseirr,jour,mois,an
CSU-0               ,1,0.95, 30.0,15, 2,2005
CSU-0               ,1,0.95, 40.0,21, 2,2005
CSU-0               ,1,0.95, 40.0, 3, 3,2005
CSU-0               ,1,0.95, 30.0,10, 3,2005
CSU-0               ,1,0.95, 30.0,31, 3,2005
CSU-0               ,1,0.95, 20.0, 7, 4,2005
CSU-0               ,1,0.95, 40.0,13, 4,2005
CSU-0               ,1,0.95, 20.0,14, 4,2005
CSU-0               ,1,0.95, 20.0,18, 4,2005
CSU-0               ,1,0.95, 20.0,19, 4,2005
CSU-0               ,1,0.95, 10.0,20, 4,2005
CSU-0               ,1,0.95,  7.0,27, 4,2005
CSU-0               ,1,0.95,  7.0,28, 4,2005
CSU-0               ,1,0.95,  7.0,29, 4,2005
CSU-0               ,1,0.95, 10.0, 3, 5,2005
CSU-0               ,1,0.95, 20.0, 4, 5,2005
CSU-0               ,1,0.95, 20.0, 5, 5,2005
CSU-0               ,1,0.95, 10.0, 6, 5,2005
CSU-0               ,1,0.95, 10.0, 9, 5,2005
CSU-0               ,1,0.95, 10.0,10, 5,2005
CSU-0               ,1,0.95, 10.0,11, 5,2005
CSU-0               ,1,0.95, 10.0,12, 5,2005
CSU-0               ,1,0.95, 10.0,13, 5,2005
CSU-0               ,1,0.95, 12.0,17, 5,2005
CSU-0               ,1,0.95, 12.0,20, 5,2005
CSU-0               ,1,0.95, 20.0, 2, 6,2005
CSU-0               ,1,0.95, 20.0, 3, 6,2005
CSU-0               ,1,0.95, 20.0, 6, 6,2005
CSU-0               ,1,0.95, 20.0, 8, 6,2005
CSU-0               ,1,0.95, 20.0,10, 6,2005
CSU-0               ,1,0.95, 20.0,14, 6,2005
CSU-0               ,1,0.95, 20.0,17, 6,2005
CSU-0               ,1,0.95, 15.0,24, 6,2005
CSU-0               ,1,0.95, 15.0, 5, 7,2005
CSU-0               ,1,0.95, 15.0, 8, 7,2005
CSU-0               ,1,0.95, 15.0,12, 7,2005
CSU-0               ,1,0.95, 15.0,15, 7,2005
CSU-0               ,1,0.95, 15.0,19, 7,2005
CSU-0               ,1,0.95, 15.0,22, 7,2005
CSU-0               ,1,0.95, 15.0,29, 7,2005
CSU-0               ,1,0.95, 15.0, 2, 8,2005
CSU-0               ,1,0.95, 15.0, 5, 8,2005
CSU-0               ,1,0.95, 15.0, 9, 8,2005
CSU-0               ,1,0.95, 15.0,12, 8,2005
CSU-0               ,1,0.95, 15.0,16, 8,2005
CSU-0               ,1,0.95, 15.0,19, 8,2005
CSU-0               ,1,0.95, 15.0,23, 8,2005
CSU-0               ,1,0.95, 15.0,29, 8,2005
CSU-0               ,1,0.95, 15.0,31, 8,2005
CSU-0               ,1,0.95, 15.0, 2, 9,2005
CSU-0               ,1,0.95, 15.0, 7, 9,2005
CSU-0               ,1,0.95, 15.0, 9, 9,2005
CSU-0               ,1,0.95, 15.0,14, 9,2005
