wstacode	decade	rainfallmeand	etomeand	tmaxd	tmind	radmeand	rhmaxd	rhmind	windmeand
201	1	11.58	3.38	29.72	19.1	18.9	-999	-999	-999
201	2	5.8	3.22	28.98	18.65	18.58	-999	-999	-999
201	3	11.48	2.48	28.55	19.38	15.15	-999	-999	-999
201	4	4.75	3.91	29.97	17.86	21.95	-999	-999	-999
201	5	4.55	3.57	30.18	18.13	20.29	-999	-999	-999
201	6	4.21	3.28	30.18	18.19	18.99	-999	-999	-999
201	7	4.94	3.58	31.11	18.08	20.17	-999	-999	-999
201	8	6.2	3.14	30.45	18.87	17.83	-999	-999	-999
201	9	3.6	3.12	29.12	16.62	18.84	-999	-999	-999
201	10	2.36	2.99	30.04	16.87	17.9	-999	-999	-999
201	11	1.53	2.84	30.05	16.17	17.53	-999	-999	-999
201	12	0.73	2.36	28.79	14.59	15.76	-999	-999	-999
201	13	2.24	1.9	26.07	12.18	14.41	-999	-999	-999
201	14	1.52	1.96	27.23	12	14.46	-999	-999	-999
201	15	4.55	1.45	24.32	10.32	12.3	-999	-999	-999
201	16	1.71	1.69	26.42	11.11	12.85	-999	-999	-999
201	17	0.91	1.72	26.92	10.34	12.92	-999	-999	-999
201	18	0.76	1.67	26.07	9.79	12.55	-999	-999	-999
201	19	1.22	1.69	25.37	9.6	11.82	-999	-999	-999
201	20	1.36	1.65	23.38	9.18	11.57	-999	-999	-999
201	21	0.68	2.08	25.91	8.96	13.95	-999	-999	-999
201	22	2.42	2.23	26.49	10.11	14.2	-999	-999	-999
201	23	0.02	2.7	27.67	9.65	16.8	-999	-999	-999
201	24	0.95	2.79	28.54	11.91	14.87	-999	-999	-999
201	25	0.9	3.2	28.75	12.14	16.69	-999	-999	-999
201	26	1.4	3.09	28	14.09	15.38	-999	-999	-999
201	27	0.3	3.36	29.04	14.75	16.28	-999	-999	-999
201	28	2.82	3.62	30.12	15.68	17.47	-999	-999	-999
201	29	3.63	3.78	30.05	16.76	17.47	-999	-999	-999
201	30	4.44	3.74	29.94	17.42	18.06	-999	-999	-999
201	31	0.97	4.02	28.9	16.38	19.45	-999	-999	-999
201	32	8.83	3.59	29.07	17.96	18	-999	-999	-999
201	33	6.09	3.91	30.03	18.61	19.51	-999	-999	-999
201	34	4.19	3.42	29.59	19.55	17.59	-999	-999	-999
201	35	6.57	3.96	30.37	18.54	20.6	-999	-999	-999
201	36	4.69	3.95	30.09	18.3	21.55	-999	-999	-999
