treatcode	obsdate	swc1	swc2	swc3	swc4	swc5	swc6
BXAA-2-0-AAA-R570	0001-02-19	0.459	0.459	0.495	0.481	0.485	-999
BXAA-2-0-AAA-R570	0001-04-19	0.464	0.464	0.467	0.415	0.396	-999
BXAA-2-0-AAA-R570	0002-08-19	0.485	0.485	0.498	0.488	0.441	-999
BXAA-2-0-AAA-R570	0004-10-19	0.49	0.49	0.512	0.493	0.442	-999
BXAA-2-0-AAA-R570	0007-04-19	0.441	0.441	0.458	0.406	0.403	-999
BXAA-2-0-AAA-R570	0007-06-19	0.422	0.422	0.431	0.399	0.391	-999
BXAA-2-0-AAA-R570	0007-09-19	0.484	0.484	0.514	0.474	0.479	-999
BXAA-2-0-AAA-R570	0010-05-19	0.459	0.459	0.479	0.481	0.473	-999
BXAA-2-0-AAA-R570	0012-04-19	0.424	0.424	0.442	0.4	0.37	-999
BXAA-2-0-AAA-R570	0014-06-19	0.411	0.411	0.407	0.359	0.36	-999
BXAA-2-0-AAA-R570	0015-02-19	0.544	0.544	0.551	0.501	0.472	-999
BXAA-2-0-AAA-R570	0015-03-19	0.561	0.561	0.562	0.496	0.43	-999
BXAA-2-0-AAA-R570	0016-12-19	0.505	0.505	0.514	0.498	0.507	-999
BXAA-2-0-AAA-R570	0017-05-19	0.428	0.428	0.443	0.426	0.438	-999
BXAA-2-0-AAA-R570	0019-07-19	0.489	0.489	0.5	0.471	0.439	-999
BXAA-2-0-AAA-R570	0021-06-19	0.411	0.411	0.433	0.395	0.367	-999
BXAA-2-0-AAA-R570	0022-12-19	0.53	0.53	0.511	0.441	0.442	-999
BXAA-2-0-AAA-R570	0023-02-19	0.4	0.4	0.483	0.55	0.447	-999
BXAA-2-0-AAA-R570	0027-07-19	0.517	0.517	0.541	0.514	0.469	-999
BXAA-2-0-AAA-R570	0028-06-19	0.452	0.452	0.483	0.453	0.471	-999
CP04-3-0-AAA-R570	0002-04-19	0.378	0.378	0.311	0.492	0.579	0.598
CP04-3-0-AAA-R570	0003-03-19	0.409	0.409	0.359	0.515	0.586	0.602
CP04-3-0-AAA-R570	0004-10-19	0.343	0.343	0.297	0.412	0.502	0.488
CP04-3-0-AAA-R570	0005-07-19	0.313	0.313	0.3	0.449	0.499	0.492
CP04-3-0-AAA-R570	0007-06-19	0.317	0.317	0.3	0.406	0.476	0.506
CP04-3-0-AAA-R570	0007-09-19	0.389	0.389	0.311	0.456	0.554	0.541
CP04-3-0-AAA-R570	0009-08-19	0.313	0.313	0.281	0.404	0.501	0.521
CP04-3-0-AAA-R570	0011-05-19	0.376	0.376	0.343	0.487	0.568	0.559
CP04-3-0-AAA-R570	0012-03-19	0.438	0.438	0.371	0.553	0.61	0.586
CP04-3-0-AAA-R570	0012-10-19	0.341	0.341	0.284	0.431	0.541	0.549
CP04-3-0-AAA-R570	0015-04-19	0.462	0.462	0.376	0.45	0.573	0.595
CP04-3-0-AAA-R570	0015-11-19	0.313	0.313	0.265	0.4	0.499	0.521
CP04-3-0-AAA-R570	0016-08-19	0.316	0.316	0.265	0.404	0.488	0.505
CP04-3-0-AAA-R570	0017-05-19	0.365	0.365	0.324	0.491	0.568	0.56
CP04-3-0-AAA-R570	0019-04-19	0.403	0.403	0.388	0.531	0.562	0.542
CP04-3-0-AAA-R570	0019-07-19	0.323	0.323	0.292	0.46	0.521	0.524
CP04-3-0-AAA-R570	0021-12-19	0.406	0.406	0.359	0.519	0.571	0.561
CP04-3-0-AAA-R570	0022-09-19	0.369	0.369	0.343	0.427	0.508	0.556
CP04-3-0-AAA-R570	0024-03-19	0.407	0.407	0.369	0.51	0.58	0.606
CP04-3-0-AAA-R570	0025-05-19	0.352	0.352	0.325	0.481	0.551	0.574
CP04-3-0-AAA-R570	0026-02-19	0.44	0.44	0.396	0.526	0.624	0.631
CP04-3-0-AAA-R570	0028-06-19	0.308	0.308	0.29	0.404	0.517	0.534
CP04-3-0-AAA-R570	0031-05-19	0.322	0.322	0.287	0.426	0.519	0.552
GVER-1-0-AAA-R570	0001-07-20	0.3520866	0.3520866	0.3520866	0.3520866	0.3520866	0.3520866
GVER-1-0-AAA-R570	0001-09-20	0.3640838	0.3640838	0.3640838	0.3640838	0.3640838	0.3640838
GVER-1-0-AAA-R570	0001-12-20	0.395	0.395	0.395	0.395	0.395	0.395
GVER-1-0-AAA-R570	0002-05-20	0.3069401	0.3069401	0.3069401	0.3069401	0.3069401	0.3069401
GVER-1-0-AAA-R570	0002-09-20	0.3825596	0.3825596	0.3825596	0.3825596	0.3825596	0.3825596
GVER-1-0-AAA-R570	0002-11-20	0.395	0.395	0.395	0.395	0.395	0.395
GVER-1-0-AAA-R570	0003-02-20	0.3684121	0.3684121	0.3684121	0.3684121	0.3684121	0.3684121
GVER-1-0-AAA-R570	0003-02-20	0.391155	0.391155	0.391155	0.391155	0.391155	0.391155
GVER-1-0-AAA-R570	0003-06-20	0.3206686	0.3206686	0.3206686	0.3206686	0.3206686	0.3206686
GVER-1-0-AAA-R570	0003-08-20	0.3674821	0.3674821	0.3674821	0.3674821	0.3674821	0.3674821
GVER-1-0-AAA-R570	0004-11-20	0.3908653	0.3908653	0.3908653	0.3908653	0.3908653	0.3908653
GVER-1-0-AAA-R570	0005-01-20	0.395	0.395	0.395	0.395	0.395	0.395
GVER-1-0-AAA-R570	0005-08-20	0.3352605	0.3352605	0.3352605	0.3352605	0.3352605	0.3352605
GVER-1-0-AAA-R570	0005-09-20	0.3406893	0.3406893	0.3406893	0.3406893	0.3406893	0.3406893
GVER-1-0-AAA-R570	0007-01-20	0.395	0.395	0.395	0.395	0.395	0.395
GVER-1-0-AAA-R570	0007-03-20	0.3321999	0.3321999	0.3321999	0.3321999	0.3321999	0.3321999
GVER-1-0-AAA-R570	0007-04-20	0.3127826	0.3127826	0.3127826	0.3127826	0.3127826	0.3127826
GVER-1-0-AAA-R570	0007-10-20	0.3776701	0.3776701	0.3776701	0.3776701	0.3776701	0.3776701
GVER-1-0-AAA-R570	0008-07-20	0.3497219	0.3497219	0.3497219	0.3497219	0.3497219	0.3497219
GVER-1-0-AAA-R570	0008-09-20	0.3591183	0.3591183	0.3591183	0.3591183	0.3591183	0.3591183
GVER-1-0-AAA-R570	0009-06-20	0.35968	0.35968	0.35968	0.35968	0.35968	0.35968
GVER-1-0-AAA-R570	0009-10-20	0.3825285	0.3825285	0.3825285	0.3825285	0.3825285	0.3825285
GVER-1-0-AAA-R570	0009-12-20	0.395	0.395	0.395	0.395	0.395	0.395
GVER-1-0-AAA-R570	0010-02-20	0.3927634	0.3927634	0.3927634	0.3927634	0.3927634	0.3927634
GVER-1-0-AAA-R570	0010-09-20	0.3753758	0.3753758	0.3753758	0.3753758	0.3753758	0.3753758
GVER-1-0-AAA-R570	0011-02-20	0.3587536	0.3587536	0.3587536	0.3587536	0.3587536	0.3587536
GVER-1-0-AAA-R570	0011-08-20	0.3259769	0.3259769	0.3259769	0.3259769	0.3259769	0.3259769
GVER-1-0-AAA-R570	0011-11-20	0.390422	0.390422	0.390422	0.390422	0.390422	0.390422
GVER-1-0-AAA-R570	0011-12-20	0.395	0.395	0.395	0.395	0.395	0.395
GVER-1-0-AAA-R570	0012-04-20	0.336031	0.336031	0.336031	0.336031	0.336031	0.336031
