obptrt,obpdd,obpmm,obpyr,obnbtigv,obnbtigm,obnbtigfl,obhtvd,obnbt,obnbv,obltvdsurf,oblai,obei,obsucre,obrdcan,obmstigusi,obhumtig,obsucretig,obfibretig,obbrixjtig,puretejtig,obmslv,obmslt,obmfa,obmsa,obhumcan,obmsen,obsutil
BCSU-0-0-IRR-R570        , 5, 1,2005,    5.040, -999.000, -999.000, -999.000,    6.875,    6.167, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000,1
BCSU-0-0-IRR-R570        , 7, 3,2005,    7.579, -999.000, -999.000, -999.000,   15.500,    7.125, -999.000,    1.817, -999.000, -999.000,   16.190,    5.689,   64.917, -999.000, -999.000, -999.000, -999.000,    1.828, -999.000, -999.000,    8.870, -999.000, -999.000,1
BCSU-0-0-IRR-R570        ,10,12,2004,    2.183, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000,    0.019, -999.000,    0.000,    0.000,    0.000, -999.000, -999.000, -999.000, -999.000, -999.000,    0.031, -999.000, -999.000,    0.041, -999.000, -999.000,1
BCSU-0-0-IRR-R570        ,11, 4,2005,    7.738, -999.000, -999.000, -999.000,   20.208,    7.875, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000,1
BCSU-0-0-IRR-R570        ,15, 2,2005,    6.468, -999.000, -999.000, -999.000,   12.459,    5.417, -999.000, -999.000, -999.000, -999.000, -999.000,    0.738, -999.000, -999.000, -999.000, -999.000, -999.000,    1.142, -999.000, -999.000,    4.266, -999.000, -999.000,1
BCSU-0-0-IRR-R570        ,24, 1,2005,    5.437, -999.000, -999.000, -999.000,   10.041,    5.833, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000,1
BCSU-0-0-IRR-R570        ,27, 7,2005,    6.230, -999.000, -999.000, -999.000,   27.541,    5.833, -999.000, -999.000, -999.000, -999.000, -999.000,   29.286, -999.000, -999.000, -999.000, -999.000, -999.000,    6.141, -999.000, -999.000,   50.363, -999.000, -999.000,1
BCSU-0-0-IRR-R570        ,27, 9,2005,    6.349, -999.000, -999.000, -999.000,   32.000,    6.917, -999.000,    4.617, -999.000, -999.000,  110.833,   30.505,   72.480, -999.000, -999.000, -999.000, -999.000,    6.828, -999.000, -999.000,   56.895, -999.000, -999.000,1
BCSU-0-0-IRR-R570        ,31, 5,2005,    6.270, -999.000, -999.000, -999.000,   24.333,    5.583, -999.000,    5.168, -999.000, -999.000, -999.000,   24.167, -999.000, -999.000, -999.000, -999.000, -999.000,    5.310, -999.000, -999.000,   38.997, -999.000, -999.000,1
BCSU-0-0-PLU-R570        , 5, 1,2005,    5.119, -999.000, -999.000, -999.000,    7.375,    6.375, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000,1
BCSU-0-0-PLU-R570        , 7, 3,2005,    6.786, -999.000, -999.000, -999.000,   15.875,    6.750, -999.000,    2.259, -999.000, -999.000,   18.090,    4.877,   73.079, -999.000, -999.000, -999.000, -999.000,    2.253, -999.000, -999.000,    8.761, -999.000, -999.000,1
BCSU-0-0-PLU-R570        ,10,12,2004,    2.143, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000,    0.021, -999.000,    0.000,    0.000,    0.000, -999.000, -999.000, -999.000, -999.000, -999.000,    0.024, -999.000, -999.000,    0.033, -999.000, -999.000,1
BCSU-0-0-PLU-R570        ,11, 4,2005,    6.667, -999.000, -999.000, -999.000,   20.250,    7.875, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000,1
BCSU-0-0-PLU-R570        ,15, 2,2005,    6.667, -999.000, -999.000, -999.000,   13.000,    6.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000,    1.358, -999.000, -999.000,    5.294, -999.000, -999.000,1
BCSU-0-0-PLU-R570        ,24, 1,2005,    6.548, -999.000, -999.000, -999.000,   10.500,    6.375, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000, -999.000,1
BCSU-0-0-PLU-R570        ,27, 7,2005,    6.310, -999.000, -999.000, -999.000,   26.875,    5.625, -999.000, -999.000, -999.000, -999.000, -999.000,   28.450, -999.000, -999.000, -999.000, -999.000, -999.000,    6.007, -999.000, -999.000,   48.416, -999.000, -999.000,1
BCSU-0-0-PLU-R570        ,27, 9,2005,    6.548, -999.000, -999.000, -999.000,   33.620,    8.750, -999.000,    4.214, -999.000, -999.000,  111.389,   32.426,   70.892, -999.000, -999.000, -999.000, -999.000,    6.114, -999.000, -999.000,   54.089, -999.000, -999.000,1
BCSU-0-0-PLU-R570        ,31, 5,2005,    6.429, -999.000, -999.000, -999.000,   23.625,    4.250, -999.000,    5.047, -999.000, -999.000, -999.000,   23.760, -999.000, -999.000, -999.000, -999.000, -999.000,    5.243, -999.000, -999.000,   38.152, -999.000, -999.000,1
