varcode		paramname		plantcrop		ratoon
R570		blk		0.1		0.1
R570		blkdec		0.7		0.7
R570		blsurfk		40		40
R570		blsurfmax		800		800
R570		bltb		12		12
R570		blvmax		10		10
R570		htvdcan		30		30
R570		htvdgro1		0.1		0.1
R570		htvdgro2		0.3		0.3
R570		htvdtb		16		16
R570		htvdtm		45		45
R570		htvdto		33		33
R570		humaerdeb		87.96		85.51484745
R570		humaerdec		0.0052		0.00581315
R570		humaerfin		1012		914.39439074
R570		humaertb		12.5		13.69998142
R570		humstemdeb		88		77
R570		humstemdec		0.070374		0.020374
R570		humtigk1		12.2		12.2
R570		humtigk2		17.5		17.5
R570		kcmax		1.1		1.25
R570		ke		0.48		0.482
R570		kexrn		0.5		0.5
R570		laicroi		0.00131		0.00422358
R570		laitb		12		12
R570		laiwksen		0.0121		0.02060103
R570		p01		0.411578676		1.06653848
R570		p04		0		0
R570		pbldif		0.39		0.39
R570		pblfin		0.17		0.17
R570		pblkdec		0.85		0.85
R570		plai		0.8		0.8
R570		profrac_var		2		2
R570		prue		0.5		0.5
R570		pstrudec		6		1.21618481
R570		pstrufin		0.59		0.69138283
R570		pstrutb		20		25.368613
R570		pstrutcroi		0.03		0.0081376
R570		ptigdeb		200		499.68048161
R570		ptigdec		1.16		1.8845641
R570		ptigfin		0.75		0.96055504
R570		ruemax		4.2		2.61544815
R570		ruetk		0.00037		0.00037
R570		ruetopt		30.4		30.4
R570		sladif		54		54
R570		slafin		92.3		92.3
R570		slakdec		3.5		3.5
R570		sthydbio		0.6		0.6
R570		sthydcroi		1		0.19505985
R570		taldebtt		200		40
R570		talfinval		10		10
R570		talpeaktt		1000		1000
R570		talpeakval		14		20
R570		taltb		14		14
